Seed,Horizon,Cases,GreedyFinalErrorMean,LongHorizonFinalErrorMean,AbsoluteSequentialGain,RelativeSequentialGain,MedianCaseRelativeGain,PositiveCaseRate,ActionsDifferentRate,EarlyActionsDifferentRate,LateActionsDifferentRate
42,10,24,0.39688111655414104,0.3959493264555931,0.0009317900985479355,0.0023477813876307822,0.000817589598127272,0.9583333333333334,0.43333333333333335,0.5166666666666667,0.35
42,20,24,0.3999259614696105,0.39278150349855423,0.007144457971056284,0.01786445157199222,0.002227310212212348,0.9166666666666666,0.4895833333333333,0.6736111111111112,0.25595238095238093
123,10,24,0.2976874317973852,0.2974189252903064,0.00026850650707882506,0.0009019746163203103,-1.4264227088787224e-05,0.20833333333333334,0.4583333333333333,0.575,0.3416666666666667
123,20,24,0.29186302423477173,0.2884852737188339,0.003377750515937805,0.011573067622367868,-1.6384892539710635e-05,0.375,0.60625,0.7152777777777778,0.44642857142857145
2026,10,24,0.2854853669802348,0.2860506549477577,-0.0005652879675229205,-0.00198009436876692,0.0,0.2916666666666667,0.39166666666666666,0.475,0.30833333333333335
2026,20,24,0.2872921712696552,0.2853655417760213,0.0019266294936339246,0.006706167749435717,-2.674191364207304e-06,0.4166666666666667,0.49583333333333335,0.6388888888888888,0.3392857142857143
