variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,top2,Seed
verified_screening,0,supervised,-0.06842221319675446,0.010559701011516154,5,,,,,,42
verified_screening,0,actor,-0.06842221319675446,0.010559701011516154,5,,,,,,42
verified_screening,0,zero,-0.2831810712814331,0.012560793082229793,5,,,,,,42
verified_screening,0,random,-0.22566747665405273,0.01114713738206774,5,,,,,,42
verified_screening,0,shuffled,-0.10147518664598465,0.014924878370948136,5,,,,,,42
verified_screening,0,perturb_0.25sigma,-0.0894763246178627,0.010115137265529484,5,,,,,,42
verified_screening,0,perturb_0.5sigma,-0.12131978571414948,0.01097219018265605,5,,,,,,42
verified_screening,0,perturb_1sigma,-0.07368278503417969,0.014390758122317493,5,,,,,,42
verified_screening,0,perturb_2sigma,-0.27359747886657715,0.009430491190869361,5,,,,,,42
verified_screening,1,supervised,-0.13646671175956726,0.007555431337095797,5,,,,,,42
verified_screening,1,actor,-0.13646671175956726,0.007555431337095797,5,,,,,,42
verified_screening,1,zero,-0.32595306634902954,0.009053332381881773,5,,,,,,42
verified_screening,1,random,-0.26290518045425415,0.009156125946901739,5,,,,,,42
verified_screening,1,shuffled,-0.23346059024333954,0.011032998678274453,5,,,,,,42
verified_screening,1,perturb_0.25sigma,-0.18231913447380066,0.0072515212232246995,5,,,,,,42
verified_screening,1,perturb_0.5sigma,-0.19385109841823578,0.0072614121017977595,5,,,,,,42
verified_screening,1,perturb_1sigma,-0.13608373701572418,0.006839108013082296,5,,,,,,42
verified_screening,1,perturb_2sigma,0.32807281613349915,0.0111058329930529,5,,,,,,42
verified_screening,2,supervised,-0.2820015251636505,0.005309184663929045,5,,,,,,42
verified_screening,2,actor,-0.2820015251636505,0.005309184663929045,5,,,,,,42
verified_screening,2,zero,-0.3760312795639038,0.006377317942678928,5,,,,,,42
verified_screening,2,random,-0.3201523423194885,0.005041939439252019,5,,,,,,42
verified_screening,2,shuffled,-0.20915581285953522,0.007965134805999696,5,,,,,,42
verified_screening,2,perturb_0.25sigma,-0.30326440930366516,0.005166301038116217,5,,,,,,42
verified_screening,2,perturb_0.5sigma,-0.3338505029678345,0.006412469665519893,5,,,,,,42
verified_screening,2,perturb_1sigma,-0.4290064871311188,0.0045603912440128624,5,,,,,,42
verified_screening,2,perturb_2sigma,-0.38322940468788147,0.004741626442410052,5,,,,,,42
verified_screening,3,supervised,-0.4969300925731659,0.0035429183626547456,5,,,,,,42
verified_screening,3,actor,-0.4969300925731659,0.0035429183626547456,5,,,,,,42
verified_screening,3,zero,-0.331747829914093,0.004332878859713674,5,,,,,,42
verified_screening,3,random,0.10848942399024963,0.005443260888569057,5,,,,,,42
verified_screening,3,shuffled,-0.012790992856025696,0.005607503466308117,5,,,,,,42
verified_screening,3,perturb_0.25sigma,-0.5421078205108643,0.0033734398894011974,5,,,,,,42
verified_screening,3,perturb_0.5sigma,-0.5786506533622742,0.0031981238862499595,5,,,,,,42
verified_screening,3,perturb_1sigma,-0.39748719334602356,0.003925560391508043,5,,,,,,42
verified_screening,3,perturb_2sigma,-0.6882918477058411,0.002405380248092115,5,,,,,,42
verified_screening,4,supervised,-0.692316472530365,0.002059194492176175,5,,,,,,42
verified_screening,4,actor,-0.692316472530365,0.002059194492176175,5,,,,,,42
verified_screening,4,zero,-0.33077093958854675,0.0026903452817350626,5,,,,,,42
verified_screening,4,random,-0.38066521286964417,0.002733619185164571,5,,,,,,42
verified_screening,4,shuffled,0.034538038074970245,0.0037402957677841187,5,,,,,,42
verified_screening,4,perturb_0.25sigma,-0.7101122140884399,0.002014819299802184,5,,,,,,42
verified_screening,4,perturb_0.5sigma,-0.8226969838142395,0.0018713175086304545,5,,,,,,42
verified_screening,4,perturb_1sigma,-0.7356449961662292,0.0022282195277512074,5,,,,,,42
verified_screening,4,perturb_2sigma,-0.19938121736049652,0.003054315224289894,5,,,,,,42
verified_screening,5,supervised,-0.06842221319675446,0.010559701011516154,5,,,,,,42
verified_screening,5,actor,-0.06842221319675446,0.010559701011516154,5,,,,,,42
verified_screening,5,zero,-0.2831810712814331,0.012560793082229793,5,,,,,,42
verified_screening,5,random,-0.1973942369222641,0.013374178786762059,5,,,,,,42
verified_screening,5,shuffled,-0.10147518664598465,0.014924878370948136,5,,,,,,42
verified_screening,5,perturb_0.25sigma,-0.07768324762582779,0.010620833723805845,5,,,,,,42
verified_screening,5,perturb_0.5sigma,-0.23820364475250244,0.009473357640672475,5,,,,,,42
verified_screening,5,perturb_1sigma,-0.24972860515117645,0.009413998399395496,5,,,,,,42
verified_screening,5,perturb_2sigma,-0.03519421070814133,0.01312010467518121,5,,,,,,42
verified_screening,6,supervised,-0.13334690034389496,0.008660795399919152,5,,,,,,42
verified_screening,6,actor,-0.13334690034389496,0.008660795399919152,5,,,,,,42
verified_screening,6,zero,-0.3349509835243225,0.010094431694597006,5,,,,,,42
verified_screening,6,random,-0.0021031945943832397,0.012534885783679783,5,,,,,,42
verified_screening,6,shuffled,-0.25093984603881836,0.012161833001300693,5,,,,,,42
verified_screening,6,perturb_0.25sigma,-0.14873050153255463,0.00829087314195931,5,,,,,,42
verified_screening,6,perturb_0.5sigma,-0.13589349389076233,0.009015347575768828,5,,,,,,42
verified_screening,6,perturb_1sigma,-0.12169523537158966,0.008891412289813161,5,,,,,,42
verified_screening,6,perturb_2sigma,-0.5547525882720947,0.006151098757982254,5,,,,,,42
verified_screening,7,supervised,-0.3085402846336365,0.006239298149012029,5,,,,,,42
verified_screening,7,actor,-0.3085402846336365,0.006239298149012029,5,,,,,,42
verified_screening,7,zero,-0.37202197313308716,0.007238612626679242,5,,,,,,42
verified_screening,7,random,-0.30968648195266724,0.007190653355792165,5,,,,,,42
verified_screening,7,shuffled,-0.22995299100875854,0.009007835411466658,5,,,,,,42
verified_screening,7,perturb_0.25sigma,-0.3173474669456482,0.006398531841114163,5,,,,,,42
verified_screening,7,perturb_0.5sigma,-0.34708553552627563,0.006881506298668683,5,,,,,,42
verified_screening,7,perturb_1sigma,-0.3129512071609497,0.00638134719338268,5,,,,,,42
verified_screening,7,perturb_2sigma,-0.30066078901290894,0.004176401533186436,5,,,,,,42
verified_screening,8,supervised,-0.35337018966674805,0.004874495672993362,5,,,,,,42
verified_screening,8,actor,-0.35337018966674805,0.004874495672993362,5,,,,,,42
verified_screening,8,zero,-0.26278507709503174,0.005565291969105601,5,,,,,,42
verified_screening,8,random,-0.38774263858795166,0.0038678230484947562,5,,,,,,42
verified_screening,8,shuffled,-0.03032965585589409,0.00671516265720129,5,,,,,,42
verified_screening,8,perturb_0.25sigma,-0.3376199007034302,0.0050984767731279135,5,,,,,,42
verified_screening,8,perturb_0.5sigma,-0.37151408195495605,0.004560695379041135,5,,,,,,42
verified_screening,8,perturb_1sigma,-0.21547476947307587,0.005726375384256244,5,,,,,,42
verified_screening,8,perturb_2sigma,0.08602660149335861,0.007972318679094315,5,,,,,,42
verified_screening,9,supervised,-0.34941989183425903,0.003223648527637124,5,,,,,,42
verified_screening,9,actor,-0.34941989183425903,0.003223648527637124,5,,,,,,42
verified_screening,9,zero,-0.18693162500858307,0.0037130978889763355,5,,,,,,42
verified_screening,9,random,-0.21344228088855743,0.003639695467427373,5,,,,,,42
verified_screening,9,shuffled,0.0046875253319740295,0.004524424206465483,5,,,,,,42
verified_screening,9,perturb_0.25sigma,-0.30027246475219727,0.003351381979882717,5,,,,,,42
verified_screening,9,perturb_0.5sigma,-0.3553377389907837,0.0032166368328034878,5,,,,,,42
verified_screening,9,perturb_1sigma,-0.31608664989471436,0.0033333164174109697,5,,,,,,42
verified_screening,9,perturb_2sigma,-0.4716835618019104,0.00216372380964458,5,,,,,,42
verified_screening,10,supervised,-0.3998871445655823,0.0024492258380632848,5,,,,,,42
verified_screening,10,actor,-0.3998871445655823,0.0024492258380632848,5,,,,,,42
verified_screening,10,zero,-0.29647213220596313,0.0032816469902172685,5,,,,,,42
verified_screening,10,random,-0.0876835286617279,0.00291748670861125,5,,,,,,42
verified_screening,10,shuffled,0.2673190236091614,0.0033497435797471553,5,,,,,,42
verified_screening,10,perturb_0.25sigma,-0.38439059257507324,0.00249736534897238,5,,,,,,42
verified_screening,10,perturb_0.5sigma,-0.4221566915512085,0.0023990769404917955,5,,,,,,42
verified_screening,10,perturb_1sigma,-0.3744930624961853,0.0023578460386488587,5,,,,,,42
verified_screening,10,perturb_2sigma,-0.4037105441093445,0.002359755802899599,5,,,,,,42
verified_screening,11,supervised,-0.34210020303726196,0.0010715954849729314,5,,,,,,42
verified_screening,11,actor,-0.34210020303726196,0.0010715954849729314,5,,,,,,42
verified_screening,11,zero,-0.36521613597869873,0.0018951852835016325,5,,,,,,42
verified_screening,11,random,-0.2375940978527069,0.001678770873695612,5,,,,,,42
verified_screening,11,shuffled,0.25613027811050415,0.002165775338653475,5,,,,,,42
verified_screening,11,perturb_0.25sigma,-0.3411533832550049,0.0010761132289189845,5,,,,,,42
verified_screening,11,perturb_0.5sigma,-0.3721107244491577,0.0011224697664147243,5,,,,,,42
verified_screening,11,perturb_1sigma,-0.3013068437576294,0.0011108087637694553,5,,,,,,42
verified_screening,11,perturb_2sigma,-0.3326147794723511,0.0010363308974774554,5,,,,,,42
verified_screening,12,supervised,-0.2920609414577484,0.00047856099627097137,5,,,,,,42
verified_screening,12,actor,-0.2920609414577484,0.00047856099627097137,5,,,,,,42
verified_screening,12,zero,-0.36542922258377075,0.0012450387002900243,5,,,,,,42
verified_screening,12,random,-0.216844841837883,0.0004822730043088086,5,,,,,,42
verified_screening,12,shuffled,0.2112991362810135,0.0016059955669334158,5,,,,,,42
verified_screening,12,perturb_0.25sigma,-0.3133479356765747,0.000498334502481157,5,,,,,,42
verified_screening,12,perturb_0.5sigma,-0.3016994297504425,0.0005662502735503949,5,,,,,,42
verified_screening,12,perturb_1sigma,-0.3061400055885315,0.0003450853400863707,5,,,,,,42
verified_screening,12,perturb_2sigma,-0.2438865602016449,0.00038465279430965893,5,,,,,,42
verified_screening,13,supervised,-0.362740695476532,0.0004518736277532298,5,,,,,,42
verified_screening,13,actor,-0.362740695476532,0.0004518736277532298,5,,,,,,42
verified_screening,13,zero,-0.258705735206604,0.0010550855367910117,5,,,,,,42
verified_screening,13,random,-0.3368028402328491,0.000818281841930002,5,,,,,,42
verified_screening,13,shuffled,-0.06180950999259949,0.0014486598374787718,5,,,,,,42
verified_screening,13,perturb_0.25sigma,-0.36228305101394653,0.00042601694440236315,5,,,,,,42
verified_screening,13,perturb_0.5sigma,-0.3813994526863098,0.00039610366366105154,5,,,,,,42
verified_screening,13,perturb_1sigma,-0.4116673469543457,0.0005020204225729685,5,,,,,,42
