Seed,Cycle,StatesEvaluated,StatesWithPositiveCandidate,PositiveCandidateRate,MeanVerifiedAdvantage,MedianVerifiedAdvantage,MeanTargetLatentShift,ValErrorBefore,ValErrorAfter,CycleAccepted
42,0,96,90,0.9375,0.04533910578142645,0.01569518423639238,0.32949217417173915,0.4043683639417092,0.4039398866395156,True
42,1,96,82,0.8541666666666666,0.04365838222931815,0.01081883441656828,0.4184029246083236,0.4039398866395156,0.4039893690496683,False
42,2,96,77,0.8020833333333334,0.04845579531230486,0.01135428249835968,0.436338384333369,0.4039398866395156,0.40418229065835476,False
123,0,96,73,0.7604166666666666,0.16527832141273643,0.09396421909332275,0.2670317390193678,0.3065760576476653,0.3071769817421834,False
123,1,96,70,0.7291666666666666,0.16829901875794998,0.08813860453665257,0.32263621326003755,0.3065760576476653,0.307452750702699,False
123,2,96,76,0.7916666666666666,0.1477275282561191,0.07043594121932983,0.2908696393041234,0.3065760576476653,0.3067967817187309,False
2026,0,96,86,0.8958333333333334,0.14692580431353214,0.08148090541362762,0.23325134536554648,0.2953148235877355,0.29501108018060523,True
2026,1,96,95,0.9895833333333334,0.2971870114417183,0.2628902196884155,0.31618425733581834,0.29501108018060523,0.29581850953400135,False
2026,2,96,93,0.96875,0.2851814382978069,0.21801427006721497,0.3637558171067493,0.29501108018060523,0.2958993874490261,False
