Seed,Method,Steps,Relative L2,PDE residual norm,BC error,IC error,wall time,solver steps,action norm,return,paired improvement,Case
42,Base FNO Initializer,1,0.23787829279899597,108.76947784423828,0.0,0.0,1.6799895092844963e-05,0,0.0,0.0,0.0,0
42,Gradient residual refinement,1,0.23672258853912354,106.0252685546875,0.0,0.0,0.006248200079426169,1,0.009727716445922852,0.0048701707273721695,0.0011557042598724365,0
42,PINN-style refinement,1,0.23769234120845795,106.74589538574219,0.0,0.0,0.06589849991723895,1,0.0006016340339556336,0.0007820645114406943,0.0001859515905380249,0
42,Supervised Neural Operator Corrector,1,0.23428542912006378,86.96247863769531,0.0,0.0,0.003248899942263961,1,0.00869933795183897,0.015219002962112427,0.00359286367893219,0
42,TD3 from scratch,1,0.2332286387681961,118.02498626708984,0.0,0.0,0.00732510001398623,1,0.01729995757341385,0.01973981410264969,0.004649654030799866,0
42,TD3+BC without physics regularization,1,0.2386804223060608,119.43712615966797,0.0,0.0,0.004891200223937631,1,0.02176414616405964,-0.0033665853552520275,-0.0008021295070648193,0
42,RL Neural Operator Solver,1,0.23428542912006378,86.96247863769531,0.0,0.0,0.006448799977079034,1,0.00869933795183897,0.015219002962112427,0.00359286367893219,0
42,Base FNO Initializer,1,0.6440767645835876,4145.19677734375,0.0,0.17247915267944336,1.0998919606208801e-06,0,0.0,0.0,0.0,1
42,Gradient residual refinement,1,0.6443018913269043,4037.07861328125,0.0,0.17247915267944336,0.003289800137281418,1,0.009817800484597683,-0.0003495116834528744,-0.0002251267433166504,1
42,PINN-style refinement,1,0.6441023349761963,4139.3388671875,0.0,0.17247915267944336,0.008855200139805675,1,0.0006321271066553891,-3.9697682950645685e-05,-2.5570392608642578e-05,1
42,Supervised Neural Operator Corrector,1,0.6444427371025085,4064.714599609375,0.0,0.17247915267944336,0.0031373000238090754,1,0.008939660154283047,-0.0005681143375113606,-0.00036597251892089844,1
42,TD3 from scratch,1,0.6436848640441895,4176.2626953125,0.0,0.17247915267944336,0.008922400185838342,1,0.01963096298277378,0.0006084239576011896,0.00039190053939819336,1
42,TD3+BC without physics regularization,1,0.6442826986312866,4148.24951171875,0.0,0.17247915267944336,0.009962799958884716,1,0.021913519129157066,-0.00031995092285797,-0.0002059340476989746,1
42,RL Neural Operator Solver,1,0.6444427371025085,4064.714599609375,0.0,0.17247915267944336,0.009771799901500344,1,0.008939660154283047,-0.0005681143375113606,-0.00036597251892089844,1
42,Base FNO Initializer,1,0.5899484157562256,3044.205322265625,0.0,0.0,1.00000761449337e-06,0,0.0,0.0,0.0,2
42,Gradient residual refinement,1,0.5902090668678284,2939.94140625,0.0,0.0,0.003907000180333853,1,0.010003244504332542,-0.0004417583695612848,-0.0002606511116027832,2
