Seed,Method,Steps,Case,PDE residual norm,BC error,IC error
42,PINN-style refinement,1,13,3008.510986328125,0.0,0.0
42,Supervised Neural Operator Corrector,1,13,2927.71875,0.0,0.0
42,TD3 from scratch,1,13,3017.550048828125,0.0,0.0
42,TD3+BC without physics regularization,1,13,3010.278076171875,0.0,0.0
42,RL Neural Operator Solver,1,13,2927.71875,0.0,0.0
42,Base FNO Initializer,1,14,748.7984008789062,0.0,0.0
42,Gradient residual refinement,1,14,705.6568603515625,0.0,0.0
42,PINN-style refinement,1,14,745.2938232421875,0.0,0.0
42,Supervised Neural Operator Corrector,1,14,691.837158203125,0.0,0.0
42,TD3 from scratch,1,14,764.3208618164062,0.0,0.0
42,TD3+BC without physics regularization,1,14,750.2745361328125,0.0,0.0
42,RL Neural Operator Solver,1,14,691.837158203125,0.0,0.0
42,Base FNO Initializer,1,15,2984.757080078125,0.0,0.0
42,Gradient residual refinement,1,15,2880.782958984375,0.0,0.0
42,PINN-style refinement,1,15,2979.039306640625,0.0,0.0
42,Supervised Neural Operator Corrector,1,15,2898.122802734375,0.0,0.0
42,TD3 from scratch,1,15,2988.284912109375,0.0,0.0
42,TD3+BC without physics regularization,1,15,2980.86669921875,0.0,0.0
42,RL Neural Operator Solver,1,15,2898.122802734375,0.0,0.0
42,Base FNO Initializer,1,16,71.5908203125,0.0,0.0
42,Gradient residual refinement,1,16,77.65450286865234,0.0,0.0
42,PINN-style refinement,1,16,69.82122039794922,0.0,0.0
42,Supervised Neural Operator Corrector,1,16,56.41191101074219,0.0,0.0
42,TD3 from scratch,1,16,82.45064544677734,0.0,0.0
42,TD3+BC without physics regularization,1,16,83.5901870727539,0.0,0.0
42,RL Neural Operator Solver,1,16,56.41191101074219,0.0,0.0
42,Base FNO Initializer,1,17,3419.184326171875,0.0,0.002559700980782509
42,Gradient residual refinement,1,17,3312.9736328125,0.0,0.002559700980782509
42,PINN-style refinement,1,17,3413.40869140625,0.0,0.002559700980782509
42,Supervised Neural Operator Corrector,1,17,3334.9287109375,0.0,0.002559700980782509
42,TD3 from scratch,1,17,3428.0771484375,0.0,0.002559700980782509
42,TD3+BC without physics regularization,1,17,3416.385498046875,0.0,0.002559700980782509
42,RL Neural Operator Solver,1,17,3334.9287109375,0.0,0.002559700980782509
42,Base FNO Initializer,1,18,15.116594314575195,0.0,0.0
42,Gradient residual refinement,1,18,45.748958587646484,0.0,0.0
42,PINN-style refinement,1,18,14.110639572143555,0.0,0.0
42,Supervised Neural Operator Corrector,1,18,16.10382080078125,0.0,0.0
42,TD3 from scratch,1,18,35.116966247558594,0.0,0.0
42,TD3+BC without physics regularization,1,18,31.892587661743164,0.0,0.0
42,RL Neural Operator Solver,1,18,16.10382080078125,0.0,0.0
42,Base FNO Initializer,1,19,527.154296875,0.0,0.0
42,Gradient residual refinement,1,19,496.3068542480469,0.0,0.0
42,PINN-style refinement,1,19,524.135009765625,0.0,0.0
42,Supervised Neural Operator Corrector,1,19,478.6676940917969,0.0,0.0
42,TD3 from scratch,1,19,541.2407836914062,0.0,0.0
42,TD3+BC without physics regularization,1,19,530.0693359375,0.0,0.0
42,RL Neural Operator Solver,1,19,478.6676940917969,0.0,0.0
42,Base FNO Initializer,1,20,626.453125,0.0,0.0
42,Gradient residual refinement,1,20,589.4100341796875,0.0,0.0
42,PINN-style refinement,1,20,623.234375,0.0,0.0
42,Supervised Neural Operator Corrector,1,20,574.301025390625,0.0,0.0
42,TD3 from scratch,1,20,641.1889038085938,0.0,0.0
42,TD3+BC without physics regularization,1,20,627.8893432617188,0.0,0.0
42,RL Neural Operator Solver,1,20,574.301025390625,0.0,0.0
42,Base FNO Initializer,1,21,1226.3023681640625,0.0,0.0
42,Gradient residual refinement,1,21,1152.0567626953125,0.0,0.0
42,PINN-style refinement,1,21,1221.6971435546875,0.0,0.0
42,Supervised Neural Operator Corrector,1,21,1150.398681640625,0.0,0.0
42,TD3 from scratch,1,21,1246.305908203125,0.0,0.0
42,TD3+BC without physics regularization,1,21,1231.7239990234375,0.0,0.0
42,RL Neural Operator Solver,1,21,1150.398681640625,0.0,0.0
42,Base FNO Initializer,1,22,337.0725402832031,0.0,0.0
42,Gradient residual refinement,1,22,312.21026611328125,0.0,0.0
42,PINN-style refinement,1,22,334.4068298339844,0.0,0.0
42,Supervised Neural Operator Corrector,1,22,296.1583557128906,0.0,0.0
42,TD3 from scratch,1,22,349.7740478515625,0.0,0.0
42,TD3+BC without physics regularization,1,22,343.0984802246094,0.0,0.0
42,RL Neural Operator Solver,1,22,296.1583557128906,0.0,0.0
42,Base FNO Initializer,1,23,3135.920654296875,0.0,0.0
42,Gradient residual refinement,1,23,3031.165283203125,0.0,0.0
42,PINN-style refinement,1,23,3130.189208984375,0.0,0.0
42,Supervised Neural Operator Corrector,1,23,3050.176513671875,0.0,0.0
42,TD3 from scratch,1,23,3138.7021484375,0.0,0.0
42,TD3+BC without physics regularization,1,23,3131.263916015625,0.0,0.0
42,RL Neural Operator Solver,1,23,3050.176513671875,0.0,0.0
42,Base FNO Initializer,1,24,507.13226318359375,0.0,0.0
42,Gradient residual refinement,1,24,477.3677978515625,0.0,0.0
42,PINN-style refinement,1,24,504.1512145996094,0.0,0.0
42,Supervised Neural Operator Corrector,1,24,459.4457702636719,0.0,0.0
42,TD3 from scratch,1,24,521.1134643554688,0.0,0.0
42,TD3+BC without physics regularization,1,24,510.8766174316406,0.0,0.0
42,RL Neural Operator Solver,1,24,459.4457702636719,0.0,0.0
42,Base FNO Initializer,1,25,956.8502197265625,0.0,0.0
42,Gradient residual refinement,1,25,898.48583984375,0.0,0.0
42,PINN-style refinement,1,25,952.8285522460938,0.0,0.0
42,Supervised Neural Operator Corrector,1,25,890.766845703125,0.0,0.0
42,TD3 from scratch,1,25,974.6533203125,0.0,0.0
42,TD3+BC without physics regularization,1,25,961.2508544921875,0.0,0.0
42,RL Neural Operator Solver,1,25,890.766845703125,0.0,0.0
42,Base FNO Initializer,1,26,1805.510009765625,0.0,0.0
42,Gradient residual refinement,1,26,1712.63525390625,0.0,0.0
42,PINN-style refinement,1,26,1800.1849365234375,0.0,0.0
42,Supervised Neural Operator Corrector,1,26,1719.336181640625,0.0,0.0
42,TD3 from scratch,1,26,1823.1446533203125,0.0,0.0
42,TD3+BC without physics regularization,1,26,1808.2730712890625,0.0,0.0
42,RL Neural Operator Solver,1,26,1719.336181640625,0.0,0.0
42,Base FNO Initializer,1,27,687.4254760742188,0.0,0.0
42,Gradient residual refinement,1,27,647.1577758789062,0.0,0.0
42,PINN-style refinement,1,27,684.0639038085938,0.0,0.0
42,Supervised Neural Operator Corrector,1,27,632.8392333984375,0.0,0.0
42,TD3 from scratch,1,27,702.8646850585938,0.0,0.0
42,TD3+BC without physics regularization,1,27,688.8971557617188,0.0,0.0
42,RL Neural Operator Solver,1,27,632.8392333984375,0.0,0.0
42,Base FNO Initializer,1,28,789.942626953125,0.0,0.0
42,Gradient residual refinement,1,28,744.543212890625,0.0,0.0
42,PINN-style refinement,1,28,786.3257446289062,0.0,0.0
42,Supervised Neural Operator Corrector,1,28,731.2357788085938,0.0,0.0
42,TD3 from scratch,1,28,805.9119873046875,0.0,0.0
42,TD3+BC without physics regularization,1,28,791.9900512695312,0.0,0.0
42,RL Neural Operator Solver,1,28,731.2357788085938,0.0,0.0
42,Base FNO Initializer,1,29,2518.362060546875,0.0,0.0
42,Gradient residual refinement,1,29,2416.775146484375,0.0,0.0
42,PINN-style refinement,1,29,2512.73291015625,0.0,0.0
42,Supervised Neural Operator Corrector,1,29,2430.3720703125,0.0,0.0
42,TD3 from scratch,1,29,2526.8603515625,0.0,0.0
42,TD3+BC without physics regularization,1,29,2516.39990234375,0.0,0.0
42,RL Neural Operator Solver,1,29,2430.3720703125,0.0,0.0
42,Base FNO Initializer,1,30,3880.32177734375,0.0,0.07487307488918304
42,Gradient residual refinement,1,30,3773.1142578125,0.0,0.07487307488918304
42,PINN-style refinement,1,30,3874.498291015625,0.0,0.07487307488918304
42,Supervised Neural Operator Corrector,1,30,3799.12109375,0.0,0.07487307488918304
42,TD3 from scratch,1,30,3909.1767578125,0.0,0.07487307488918304
