variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,top2,Seed
full_cycle0,0,supervised,0.2012169361114502,0.010559701011516154,5,,,,,,42
full_cycle0,0,actor,-0.15965917706489563,0.010898560169152915,5,,,,,,42
full_cycle0,0,zero,-0.121082603931427,0.012560793082229793,5,,,,,,42
full_cycle0,0,random,-0.047637611627578735,0.012102136272005737,5,,,,,,42
full_cycle0,0,shuffled,0.05385977774858475,0.014924878370948136,5,,,,,,42
full_cycle0,0,perturb_0.25sigma,0.129904642701149,0.010182903439272195,5,,,,,,42
full_cycle0,0,perturb_0.5sigma,0.014863566495478153,0.010048223717603832,5,,,,,,42
full_cycle0,0,perturb_1sigma,0.0017824480310082436,0.009490083786658943,5,,,,,,42
full_cycle0,0,perturb_2sigma,0.01078242901712656,0.014707926427945495,5,,,,,,42
full_cycle0,1,supervised,-0.04986795783042908,0.007555431337095797,5,,,,,,42
full_cycle0,1,actor,-0.2340431809425354,0.007854041876271367,5,,,,,,42
full_cycle0,1,zero,-0.20400047302246094,0.009053332381881773,5,,,,,,42
full_cycle0,1,random,-0.013106889091432095,0.008052499615587294,5,,,,,,42
full_cycle0,1,shuffled,-0.13826104998588562,0.011032998678274453,5,,,,,,42
full_cycle0,1,perturb_0.25sigma,-0.04424406588077545,0.007675269385799766,5,,,,,,42
full_cycle0,1,perturb_0.5sigma,-0.06613698601722717,0.007334162830375135,5,,,,,,42
full_cycle0,1,perturb_1sigma,-0.09917235374450684,0.009056581533513963,5,,,,,,42
full_cycle0,1,perturb_2sigma,-0.15784576535224915,0.006476111419033259,5,,,,,,42
full_cycle0,2,supervised,-0.21153375506401062,0.005309184663929045,5,,,,,,42
full_cycle0,2,actor,-0.2535853683948517,0.005553129012696445,5,,,,,,42
full_cycle0,2,zero,-0.20880365371704102,0.006377317942678928,5,,,,,,42
full_cycle0,2,random,-0.25093981623649597,0.004970913054421544,5,,,,,,42
full_cycle0,2,shuffled,-0.08524854481220245,0.007965134805999696,5,,,,,,42
full_cycle0,2,perturb_0.25sigma,-0.220967099070549,0.005367244593799114,5,,,,,,42
full_cycle0,2,perturb_0.5sigma,-0.22712844610214233,0.005024637910537422,5,,,,,,42
full_cycle0,2,perturb_1sigma,-0.21144092082977295,0.004848476964980364,5,,,,,,42
full_cycle0,2,perturb_2sigma,-0.1919623613357544,0.004407689382787794,5,,,,,,42
full_cycle0,3,supervised,-0.2795443534851074,0.0035429183626547456,5,,,,,,42
full_cycle0,3,actor,-0.2411108911037445,0.0037344334414228797,5,,,,,,42
full_cycle0,3,zero,-0.1588032990694046,0.004332878859713674,5,,,,,,42
full_cycle0,3,random,-0.28818565607070923,0.0029214799869805574,5,,,,,,42
full_cycle0,3,shuffled,-0.012266266159713268,0.005607503466308117,5,,,,,,42
full_cycle0,3,perturb_0.25sigma,-0.27419981360435486,0.00350475765299052,5,,,,,,42
full_cycle0,3,perturb_0.5sigma,-0.2884874641895294,0.0028765442548319697,5,,,,,,42
full_cycle0,3,perturb_1sigma,-0.28405746817588806,0.003373465733602643,5,,,,,,42
full_cycle0,3,perturb_2sigma,-0.2586895525455475,0.0025716994423419237,5,,,,,,42
full_cycle0,4,supervised,-0.27848511934280396,0.002059194492176175,5,,,,,,42
full_cycle0,4,actor,-0.24722036719322205,0.0021919512655586004,5,,,,,,42
full_cycle0,4,zero,-0.15829028189182281,0.0026903452817350626,5,,,,,,42
full_cycle0,4,random,-0.0776727944612503,0.003836247604340315,5,,,,,,42
full_cycle0,4,shuffled,-0.021751604974269867,0.0037402957677841187,5,,,,,,42
full_cycle0,4,perturb_0.25sigma,-0.24600037932395935,0.0021635228767991066,5,,,,,,42
full_cycle0,4,perturb_0.5sigma,-0.27924174070358276,0.0020318282768130302,5,,,,,,42
full_cycle0,4,perturb_1sigma,-0.14447429776191711,0.0025891647674143314,5,,,,,,42
full_cycle0,4,perturb_2sigma,-0.2369125485420227,0.0025575379841029644,5,,,,,,42
full_cycle0,5,supervised,0.2012169361114502,0.010559701011516154,5,,,,,,42
full_cycle0,5,actor,-0.15965917706489563,0.010898560169152915,5,,,,,,42
full_cycle0,5,zero,-0.121082603931427,0.012560793082229793,5,,,,,,42
full_cycle0,5,random,-0.15373387932777405,0.0135008116485551,5,,,,,,42
full_cycle0,5,shuffled,0.05385977774858475,0.014924878370948136,5,,,,,,42
full_cycle0,5,perturb_0.25sigma,0.20710813999176025,0.010620015091262758,5,,,,,,42
full_cycle0,5,perturb_0.5sigma,0.20110584795475006,0.011005498585291207,5,,,,,,42
full_cycle0,5,perturb_1sigma,0.08356253057718277,0.012158575817011297,5,,,,,,42
full_cycle0,5,perturb_2sigma,-0.30628296732902527,0.007381481176707894,5,,,,,,42
full_cycle0,6,supervised,-0.049118272960186005,0.008660795399919152,5,,,,,,42
full_cycle0,6,actor,-0.2046612948179245,0.008860691101290286,5,,,,,,42
full_cycle0,6,zero,-0.2009625881910324,0.010094431694597006,5,,,,,,42
full_cycle0,6,random,-0.07627193629741669,0.008221139782108366,5,,,,,,42
full_cycle0,6,shuffled,-0.13153952360153198,0.012161833001300693,5,,,,,,42
full_cycle0,6,perturb_0.25sigma,-0.06707422435283661,0.008844883879646659,5,,,,,,42
full_cycle0,6,perturb_0.5sigma,-0.04742354154586792,0.008016902953386307,5,,,,,,42
full_cycle0,6,perturb_1sigma,-0.07571490108966827,0.00807108508888632,5,,,,,,42
full_cycle0,6,perturb_2sigma,-0.04466217756271362,0.008077855687588453,5,,,,,,42
full_cycle0,7,supervised,-0.2064831703901291,0.006239298149012029,5,,,,,,42
full_cycle0,7,actor,-0.24141022562980652,0.006355769815854728,5,,,,,,42
full_cycle0,7,zero,-0.1974046379327774,0.007238612626679242,5,,,,,,42
full_cycle0,7,random,-0.2298576384782791,0.00596803892403841,5,,,,,,42
full_cycle0,7,shuffled,-0.08264859020709991,0.009007835411466658,5,,,,,,42
full_cycle0,7,perturb_0.25sigma,-0.22790555655956268,0.006532441242597997,5,,,,,,42
full_cycle0,7,perturb_0.5sigma,-0.19230183959007263,0.005104385549202561,5,,,,,,42
full_cycle0,7,perturb_1sigma,-0.1912863850593567,0.005409167963080108,5,,,,,,42
full_cycle0,7,perturb_2sigma,-0.17505180835723877,0.004447882412932813,5,,,,,,42
full_cycle0,8,supervised,-0.26056233048439026,0.004874495672993362,5,,,,,,42
full_cycle0,8,actor,-0.23843184113502502,0.0049116736045107245,5,,,,,,42
full_cycle0,8,zero,-0.15278486907482147,0.005565291969105601,5,,,,,,42
full_cycle0,8,random,0.024892784655094147,0.00758926966227591,5,,,,,,42
full_cycle0,8,shuffled,-0.011605429463088512,0.00671516265720129,5,,,,,,42
