Seed,Case,Step,Horizon,GreedyImmediateReward,GreedyFinalError,LongHorizonReturn,LongHorizonFinalError,AbsoluteOracleGain,RelativeOracleGain,GreedyActionShift,LongActionShift,ActionsDifferent
42,0,0,5,0.0042585702612996,0.3278375566005707,0.0128345256671309,0.3278375566005707,0.0,0.0,0.5,0.5,False
42,0,1,5,0.0031242056284099,0.3282477259635925,0.0083961654454469,0.3282477259635925,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,0,2,5,0.0025580255314707,0.3283194303512573,0.0055429679341614,0.3283105194568634,8.910894393920898e-06,2.71409291383926e-05,0.5,0.25,True
42,0,3,5,0.0021137006115168,0.328306496143341,0.0034266030415892,0.328306496143341,0.0,0.0,0.5,0.5,False
42,0,4,5,0.0015528965741395,0.3284087479114532,0.0015528965741395,0.3284087479114532,0.0,0.0,0.5,0.5,False
42,1,0,5,0.0009245907422155,0.50206458568573,0.0026450618170201,0.5020596981048584,4.887580871582031e-06,9.734964406833185e-06,0.5920112729072571,0.6084394454956055,True
42,1,1,5,0.0008159578428603,0.5020564794540405,0.0018869718769565,0.5020564794540405,0.0,0.0,0.5920875072479248,0.5920875072479248,False
42,1,2,5,0.0007035083253867,0.5020477771759033,0.0013093951856717,0.5020477771759033,0.0,0.0,0.677775502204895,0.677775502204895,False
42,1,3,5,0.0004981253296136,0.5020921230316162,0.0007573321927338,0.5020921230316162,0.0,0.0,0.6589229106903076,0.6589229106903076,False
42,1,4,5,0.0006152243586257,0.5019832253456116,0.0006152243586257,0.5019832253456116,0.0,0.0,0.90492981672287,0.90492981672287,False
42,2,0,5,0.0013595623895525,0.4393164813518524,0.003335032146424,0.439210832118988,0.0001056492328643,0.0002404854753895,0.4962199330329895,0.4999999701976776,True
42,2,1,5,0.0010335644474253,0.4393131136894226,0.0019715204834938,0.4393131136894226,0.0,0.0,0.4759034514427185,0.4759034514427185,False
42,2,2,5,0.0008514540968462,0.4393087327480316,0.0011584125459194,0.4393087327480316,0.0,0.0,0.4895722270011902,0.4895722270011902,False
42,2,3,5,0.0007026660605333,0.4392636716365814,0.0007077479967847,0.4392636716365814,0.0,0.0,0.5010061860084534,0.5010061860084534,False
42,2,4,5,0.0005481428233906,0.4392042160034179,0.0005481428233906,0.4392042160034179,0.0,0.0,0.512671172618866,0.512671172618866,False
42,3,0,5,0.0081222308799624,0.2957797944545746,0.0280220787972211,0.2957797944545746,0.0,0.0,0.5,0.5,False
42,3,1,5,0.0073895608074963,0.2959931492805481,0.0213392581790685,0.2959931492805481,0.0,0.0,0.5,0.5,False
42,3,2,5,0.0066098091192543,0.2961878478527069,0.0152068268507719,0.2961878478527069,0.0,0.0,0.4999999403953552,0.4999999403953552,False
42,3,3,5,0.0059446385130286,0.2963335812091827,0.0098685342818498,0.2963335812091827,0.0,0.0,0.5,0.5,False
42,3,4,5,0.0048070764169096,0.2965970039367676,0.0048070764169096,0.2965970039367676,0.0,0.0,0.4798693656921386,0.4798693656921386,False
42,4,0,5,0.0012713529868051,0.4457606375217438,0.0031501585617661,0.4457606375217438,0.0,0.0,0.5,0.5,False
42,4,1,5,0.0010388069786131,0.445803165435791,0.0019778420682996,0.445803165435791,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,4,2,5,0.0007229297771118,0.4458788335323334,0.0010523211676627,0.4458674192428589,1.1414289474487305e-05,2.559953201649252e-05,0.5,0.4999999701976776,True
42,4,3,5,0.0004996544448658,0.4458752274513244,0.0005302600911818,0.4458657503128052,9.47713851928711e-06,2.1255135822323107e-05,0.5026825666427612,0.2572033405303955,True
42,4,4,5,0.0006289157900027,0.4456956684589386,0.0006289157900027,0.4456956684589386,0.0,0.0,0.5277159214019775,0.5277159214019775,False
