epoch,critic_loss,actor_loss,val_error,Seed,variant,actor_updates_enabled,return_loss,advantage_loss,rank_loss,actor_updates,ranking_spearman,ranking_pairwise,ranking_top1,ranking_top2
0.0,,,0.4043683639417092,42,supervised,,,,,,,,,
-70.0,1.591997257868449,0.0,,42,full_cycle0,0.0,0.4031368367373943,0.22905168912063043,0.9598087479670843,,,,,
-69.0,1.4207800914843878,0.0,,42,full_cycle0,0.0,0.34349890388548376,0.19452819830427567,0.8827529867490133,,,,,
-68.0,1.331089456876119,0.0,,42,full_cycle0,0.0,0.31803381616870563,0.17634013714268804,0.8367155050237973,,,,,
-67.0,1.26814290980498,0.0,,42,full_cycle0,0.0,0.3047620703776677,0.16400505509227514,0.7993757938345273,,,,,
-66.0,1.3494489431381225,0.0,,42,full_cycle0,0.0,0.32707391791045665,0.17392891856531303,0.8484461064140002,,,,,
-65.0,1.2196638117233911,0.0,,42,full_cycle0,0.0,0.287625194589297,0.16053987840811412,0.7714987407128017,,,,,
-64.0,1.1766314089298249,0.0,,42,full_cycle0,0.0,0.27097607565422854,0.14237447247530025,0.7632808630665143,,,,,
-63.0,1.0998352775971094,0.0,,42,full_cycle0,0.0,0.25612680210421485,0.13403608320901791,0.7096723934014638,,,,,
-62.0,1.0798976143201193,0.0,,42,full_cycle0,0.0,0.24332379500071208,0.12193836231405536,0.7146354551116626,,,,,
-61.0,1.0414062668879827,0.0,,42,full_cycle0,0.0,0.23323968475063642,0.12212481259678801,0.6860417644182841,,,,,
-60.0,0.981975590189298,0.0,,42,full_cycle0,0.0,0.21062731196482976,0.10271063110170266,0.6686376432577769,,,,,
-59.0,0.8849337602655093,0.0,,42,full_cycle0,0.0,0.1803844248255094,0.08703272204535703,0.6175166149934133,,,,,
-58.0,0.8028743654489517,0.0,,42,full_cycle0,0.0,0.1419558934867382,0.06921728188171983,0.5917011911670367,,,,,
-57.0,0.7385778417189915,0.0,,42,full_cycle0,0.0,0.12073348052799701,0.05749330267620583,0.5603510503967603,,,,,
-56.0,0.7026760225494703,0.0,,42,full_cycle0,0.0,0.1051536601036787,0.05076963133178651,0.5467527354756991,,,,,
-55.0,0.6890875567992528,0.0,,42,full_cycle0,0.0,0.11163215100144347,0.05466266406777625,0.5227927411595981,,,,,
-54.0,0.6238426427046458,0.0,,42,full_cycle0,0.0,0.08555185484389465,0.04295839948269228,0.49533238957325615,,,,,
-53.0,0.5653894593318304,0.0,,42,full_cycle0,0.0,0.06357759358361363,0.03539323999236028,0.4664186249176661,,,,,
-52.0,0.5401426156361898,0.0,,42,full_cycle0,0.0,0.0566549690750738,0.030071579261372487,0.4534160686035951,,,,,
-51.0,0.5336362461249033,0.0,,42,full_cycle0,0.0,0.0612525084366401,0.03076068377122283,0.4416230507194996,,,,,
-50.0,0.45863178968429563,0.0,,42,full_cycle0,0.0,0.045343366886178654,0.02467878465540707,0.38860963756839434,,,,,
-49.0,0.4962308498720328,0.0,,42,full_cycle0,0.0,0.050384855705002944,0.027202957278738418,0.41864304170012473,,,,,
-48.0,0.434320201476415,0.0,,42,full_cycle0,0.0,0.04106258035947879,0.021634225089413425,0.37162339811523754,,,,,
-47.0,0.41244447355469066,0.0,,42,full_cycle0,0.0,0.04232128532603383,0.022568594136585792,0.3475545940299829,,,,,
-46.0,0.40746805146336557,0.0,,42,full_cycle0,0.0,0.038128988134364286,0.020148343530793984,0.3491907184322675,,,,,
-45.0,0.4359609295924505,0.0,,42,full_cycle0,0.0,0.04119706430161993,0.021655555022880434,0.37310831174254416,,,,,
-44.0,0.39423807511727016,0.0,,42,full_cycle0,0.0,0.035214161531378824,0.019906607689335942,0.3391173068434,,,,,
-43.0,0.429644455264012,0.0,,42,full_cycle0,0.0,0.04842444378882647,0.022159333170081178,0.3590606791277727,,,,,
-42.0,0.4190816817184289,0.0,,42,full_cycle0,0.0,0.04205764497940739,0.02254922816840311,0.3544748085240523,,,,,
-41.0,0.3940841612716516,0.0,,42,full_cycle0,0.0,0.037284899471948546,0.020004204000967245,0.33679505735635756,,,,,
-40.0,0.3672291909654935,0.0,,42,full_cycle0,0.0,0.03412208869121969,0.0209671297421058,0.31213997304439545,,,,,
-39.0,0.3783501957853635,0.0,,42,full_cycle0,0.0,0.033329128520563245,0.019102516133959094,0.3259185497959455,,,,,
-38.0,0.350985836237669,0.0,,42,full_cycle0,0.0,0.037627727289994556,0.018477903244396052,0.2948802078763644,,,,,
-37.0,0.34149622544646263,0.0,,42,full_cycle0,0.0,0.0312646656918029,0.01832180473332604,0.2919097570081552,,,,,
-36.0,0.3465127043426037,0.0,,42,full_cycle0,0.0,0.03194885022627811,0.01995834275148809,0.294605511178573,,,,,
-35.0,0.33488836338122685,0.0,,42,full_cycle0,0.0,0.03060815604403615,0.017921853329365453,0.2863583569725355,,,,,
-34.0,0.31621763134996095,0.0,,42,full_cycle0,0.0,0.02976966930242876,0.01908440189436078,0.2673635606964429,,,,,
-33.0,0.36553412998716034,0.0,,42,full_cycle0,0.0,0.03904501451179385,0.021924786642193793,0.3045643297334512,,,,,
-32.0,0.36566883474588396,0.0,,42,full_cycle0,0.0,0.03428384546811382,0.021546325537686546,0.30983866602182386,,,,,
-31.0,0.3151418666044871,0.0,,42,full_cycle0,0.0,0.03148475618412097,0.018888519828518233,0.26476859201987585,,,,,
-30.0,0.34876618832349776,0.0,,42,full_cycle0,0.0,0.03292109655837218,0.018089721584692596,0.2977553691715002,,,,,
-29.0,0.29607376381754874,0.0,,42,full_cycle0,0.0,0.02708545814578732,0.017935167408237855,0.25105313782890637,,,,,
-28.0,0.311946827173233,0.0,,42,full_cycle0,0.0,0.027105965993056695,0.018032725853845476,0.26680813630421957,,,,,
-27.0,0.32248592923084896,0.0,,42,full_cycle0,0.0,0.03219417363094787,0.01851558140479028,0.2717761754989624,,,,,
-26.0,0.29825790400306385,0.0,,42,full_cycle0,0.0,0.02868353611168762,0.017374962009489535,0.2521994061768055,,,,,
-25.0,0.313060567031304,0.0,,42,full_cycle0,0.0,0.03304691171894471,0.019648860247495275,0.26036479584872724,,,,,
-24.0,0.2803177456061045,0.0,,42,full_cycle0,0.0,0.025576076935976744,0.017254564771428706,0.23748710453510286,,,,,
-23.0,0.28920312225818634,0.0,,42,full_cycle0,0.0,0.038827688759192826,0.020200555336972077,0.2301748803506295,,,,,
-22.0,0.2584021408110857,0.0,,42,full_cycle0,0.0,0.02712391613361736,0.017067188071087,0.21421103676160178,,,,,
-21.0,0.2876716439922651,0.0,,42,full_cycle0,0.0,0.02971985194211205,0.018448701066275438,0.23950309107700984,,,,,
-20.0,0.28679038137197493,0.0,,42,full_cycle0,0.0,0.03234832923238476,0.01986574553884566,0.2345763067404429,,,,,
