Seed,Policy,state,latent_policy_shift,correction_policy_shift
42,Rollout-Verified RL Neural Operator Solver,0,0.02279711328446865,0.004030053503811359
42,Rollout-Verified RL Neural Operator Solver,1,0.02181279845535755,0.004313346464186907
42,Rollout-Verified RL Neural Operator Solver,2,0.02091539464890957,0.004562600515782833
42,Rollout-Verified RL Neural Operator Solver,3,0.02011156640946865,0.004771159030497074
42,Rollout-Verified RL Neural Operator Solver,4,0.019406136125326157,0.004905676934868097
42,Rollout-Verified RL Neural Operator Solver,5,0.02279711328446865,0.004030053503811359
42,Rollout-Verified RL Neural Operator Solver,6,0.021814294159412384,0.0045221345499157906
42,Rollout-Verified RL Neural Operator Solver,7,0.020915072411298752,0.0049432129599153996
42,Rollout-Verified RL Neural Operator Solver,8,0.02011147327721119,0.005077613517642021
42,Rollout-Verified RL Neural Operator Solver,9,0.01940900646150112,0.005181741900742054
42,Rollout-Verified RL Neural Operator Solver,10,0.025595935061573982,0.004570079501718283
42,Rollout-Verified RL Neural Operator Solver,11,0.024707196280360222,0.004680043552070856
42,Rollout-Verified RL Neural Operator Solver,12,0.0238731037825346,0.004745377693325281
42,Rollout-Verified RL Neural Operator Solver,13,0.023094389587640762,0.004686038941144943
42,Rollout-Verified RL Neural Operator Solver,14,0.022372769191861153,0.004602187778800726
42,Rollout-Verified RL Neural Operator Solver,15,0.024935554713010788,0.00415395200252533
42,Rollout-Verified RL Neural Operator Solver,16,0.024024760350584984,0.004336155019700527
42,Rollout-Verified RL Neural Operator Solver,17,0.023167336359620094,0.004504459910094738
42,Rollout-Verified RL Neural Operator Solver,18,0.022366218268871307,0.004584982059895992
42,Rollout-Verified RL Neural Operator Solver,19,0.021626293659210205,0.004622653126716614
42,Rollout-Verified RL Neural Operator Solver,20,0.021128330379724503,0.006789597682654858
42,Rollout-Verified RL Neural Operator Solver,21,0.020243249833583832,0.0074165454134345055
42,Rollout-Verified RL Neural Operator Solver,22,0.019472086802124977,0.007953149266541004
42,Rollout-Verified RL Neural Operator Solver,23,0.018813718110322952,0.008378894999623299
42,Rollout-Verified RL Neural Operator Solver,24,0.01826273836195469,0.008641861379146576
42,Rollout-Verified RL Neural Operator Solver,25,0.021128330379724503,0.006789597682654858
42,Rollout-Verified RL Neural Operator Solver,26,0.020223015919327736,0.007846231572329998
42,Rollout-Verified RL Neural Operator Solver,27,0.019447384402155876,0.008590945973992348
42,Rollout-Verified RL Neural Operator Solver,28,0.018796322867274284,0.008240087889134884
42,Rollout-Verified RL Neural Operator Solver,29,0.01824268139898777,0.008742604404687881
