Horizon,MeanRelativeOracleGain,MedianRelativeOracleGain,PositiveGainRate,ActionsDifferentRate,Samples
5,0.0015070867485673,0.0,0.2111111111111111,0.2111111111111111,360
10,0.0058399197790638,0.0,0.35,0.3527777777777778,720
20,0.00542758434378029,0.0,0.34444444444444444,0.34444444444444444,1440
