Seed,Method,Case,StepCap,step,Relative L2,PDE residual norm,Physics energy,action norm,Q1,Q2,reward
42,Supervised Latent Neural Operator Corrector,0,1,1,0.30458128452301025,60.62050247192383,60.62050247192383,0.0060538300313055515,,,0.023543082177639008
42,TD3+BC,0,1,1,0.30458128452301025,60.62050247192383,60.62050247192383,0.0060538300313055515,0.11802780628204346,0.18672147393226624,0.023543082177639008
42,Rollout-Verified RL Neural Operator Solver,0,1,1,0.3040415644645691,60.5192756652832,60.5192756652832,0.006047130096703768,0.2638073265552521,0.17782045900821686,0.02531668357551098
42,Gradient baseline,0,1,1,0.3105761706829071,80.59046936035156,80.59046936035156,0.008338740095496178,,,0.004051893949508667
42,PINN-style baseline,0,1,1,0.3118172287940979,69.67767333984375,69.67767333984375,6.511402898468077e-05,,,6.389413465512916e-05
42,Supervised Latent Neural Operator Corrector,1,1,1,0.6171790957450867,4400.31201171875,4402.03662109375,0.007937987335026264,,,0.0007851301925256848
42,TD3+BC,1,1,1,0.6171790957450867,4400.31201171875,4402.03662109375,0.007937987335026264,0.20415867865085602,-0.1959632933139801,0.0007851301925256848
42,Rollout-Verified RL Neural Operator Solver,1,1,1,0.6171853542327881,4400.30615234375,4402.03076171875,0.007921271026134491,0.13156911730766296,-0.3673133850097656,0.0007750054355710745
42,Gradient baseline,1,1,1,0.6177433133125305,4354.79931640625,4356.52392578125,0.008382326923310757,,,-0.0001286702317884192
42,PINN-style baseline,1,1,1,0.6176668405532837,4548.26171875,4549.986328125,6.583437061635777e-05,,,-4.827990323974518e-06
42,Supervised Latent Neural Operator Corrector,2,1,1,0.5486204624176025,3319.44775390625,3319.44775390625,0.008840354159474373,,,0.0006593285361304879
42,TD3+BC,2,1,1,0.5486204624176025,3319.44775390625,3319.44775390625,0.008840354159474373,0.21928420662879944,-0.12354981899261475,0.0006593285361304879
42,Rollout-Verified RL Neural Operator Solver,2,1,1,0.5486285090446472,3319.3515625,3319.3515625,0.008796162903308868,0.06926640123128891,-0.34616464376449585,0.0006446756888180971
42,Gradient baseline,2,1,1,0.5490643382072449,3279.98046875,3279.98046875,0.008261502720415592,,,-0.00014941452536731958
42,PINN-style baseline,2,1,1,0.5489853620529175,3464.289306640625,3464.289306640625,6.583167851204053e-05,,,-5.543249699258013e-06
42,Supervised Latent Neural Operator Corrector,3,1,1,0.31100693345069885,322.70611572265625,322.70611572265625,0.008794181980192661,,,0.012098225764930248
42,TD3+BC,3,1,1,0.31100693345069885,322.70611572265625,322.70611572265625,0.008794181980192661,0.11055319756269455,0.07894167304039001,0.012098225764930248
42,Rollout-Verified RL Neural Operator Solver,3,1,1,0.31078460812568665,322.9443664550781,322.9443664550781,0.008596312254667282,0.30318084359169006,-0.060800276696681976,0.012813341803848743
42,Gradient baseline,3,1,1,0.31411898136138916,325.81787109375,325.81787109375,0.00857545342296362,,,0.0021415282972157
42,PINN-style baseline,3,1,1,0.3147866427898407,358.5241394042969,358.5241394042969,6.549702084157616e-05,,,1.835805960581638e-05
42,Supervised Latent Neural Operator Corrector,4,1,1,0.453127920627594,2462.91552734375,2462.91552734375,0.009670881554484367,,,0.0010292723309248686
42,TD3+BC,4,1,1,0.453127920627594,2462.91552734375,2462.91552734375,0.009670881554484367,0.23696039617061615,-0.03838065266609192,0.0010292723309248686
42,Rollout-Verified RL Neural Operator Solver,4,1,1,0.4531334936618805,2462.84814453125,2462.84814453125,0.009621080942451954,0.00012199580669403076,-0.3703698515892029,0.0010170068126171827
42,Gradient baseline,4,1,1,0.4536506235599518,2428.4765625,2428.4765625,0.008357657119631767,,,-0.00012360299297142774
42,PINN-style baseline,4,1,1,0.45359718799591064,2593.51220703125,2593.51220703125,6.58913777442649e-05,,,-5.781669642601628e-06
42,Supervised Latent Neural Operator Corrector,5,1,1,0.31002259254455566,1102.5499267578125,1102.5499267578125,0.009615893475711346,,,0.004710008855909109
42,TD3+BC,5,1,1,0.31002259254455566,1102.5499267578125,1102.5499267578125,0.009615893475711346,0.2571951448917389,0.11471140384674072,0.004710008855909109
