Seed,BaseError,SupervisedError,RLError,TD3BCError,RL_vs_Base,RL_vs_Supervised,TD3BC_vs_Supervised,CriticSpearman,CriticPairwise,ActorUpdatesEnabled,SelectedRLPolicyShifted,MeanLatentPolicyShift,MeanCorrectionPolicyShift
42,0.388758343954881,0.3730779286060068,0.3730779286060068,0.3666783716115687,0.01568041534887421,0.0,0.006399556994438116,0.5667458207786296,0.8346428571428571,2,False,0.0,0.0
123,0.2944259362088309,0.278114404115412,0.278114404115412,0.278114404115412,0.0163115320934189,0.0,0.0,0.6034095419269973,0.4982142857142857,0,False,0.0,0.0
2026,0.2901191848019759,0.2723357135223018,0.2723357135223018,0.2723357135223018,0.017783471279674112,0.0,0.0,0.1464258478363471,0.6510714285714285,0,False,0.0,0.0
