variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,Seed
full_cycle0,0,supervised,-0.03269657492637634,0.010559701011516154,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,actor,-0.03269657492637634,0.010559701011516154,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,zero,-0.006273090839385986,0.012560793082229793,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,random,-0.02478046715259552,0.011612533824518323,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,shuffled,0.014951109886169434,0.014924878370948136,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,perturb_0.25sigma,-0.030950546264648438,0.010531973442994058,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,perturb_0.5sigma,-0.051966242492198944,0.009739105764310807,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,perturb_1sigma,0.010405927896499634,0.014146813424304128,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,0,perturb_2sigma,0.045877404510974884,0.014728353009559214,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,supervised,-0.061694562435150146,0.007555431337095797,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,actor,-0.061694562435150146,0.007555431337095797,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,zero,-0.015281498432159424,0.009053332381881773,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,random,0.013767778873443604,0.010001433896832168,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,shuffled,0.01653064787387848,0.011032998678274453,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,perturb_0.25sigma,-0.03965461254119873,0.008183421334251761,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,perturb_0.5sigma,-0.047516584396362305,0.008005564799532294,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,perturb_1sigma,-0.03740823268890381,0.00776841607876122,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,1,perturb_2sigma,-0.17661592364311218,0.005095826811157167,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,2,supervised,-0.09359893202781677,0.005309184663929045,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,2,actor,-0.09359893202781677,0.005309184663929045,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
