Seed,Cycle,PrecisionAtM,Top1TruePositiveRate,BestFoundRegret,CandidateReturnSpread
42,0,0.5403645833333334,0.5,0.006743581645423546,0.04974790700608576
42,1,0.3359375,0.3541666666666667,0.008689566736393317,0.05220646263539813
42,2,0.3658854166666667,0.40625,0.007872406617631592,0.04923102565799022
123,0,0.6263020833333334,0.6145833333333334,0.006099826578671734,0.1942636386557666
123,1,0.6393229166666666,0.6354166666666666,0.012002555265401801,0.1853435876025287
123,2,0.6471354166666666,0.6458333333333334,0.004933022040252884,0.20966513213211513
2026,0,0.6796875,0.75,0.005937860192110141,0.22819990955974476
2026,1,0.51171875,0.4895833333333333,0.15298347442876548,0.19232460844064214
2026,2,0.5208333333333334,0.5,0.13138524770814305,0.20500979183376455
