RandomSeed,TrajectoryRelativeL2,FinalFrameRelativeL2
0,0.10490374326705933,0.17177364394068717
1,0.10291043434292078,0.22821295097470284
2,0.10279987152665854,0.21343073599040507
3,0.10294860575348139,0.1325160340964794
4,0.10341555461287498,0.17868542175740004
5,0.10372523620724677,0.16842945206910373
6,0.1062399234622717,0.1818396196886897
7,0.10097705319523811,0.1683462592959404
8,0.10147307612001896,0.12565327908843757
9,0.10695072859525681,0.16939104240387678
10,0.10245964735746384,0.1654669038206339
11,0.10336578708142043,0.1447923831269145
12,0.10453067399561405,0.14847966365516185
13,0.10461906109005213,0.17628752414137125
14,0.10524980191141367,0.14959282834082843
15,0.10386596754193306,0.17676832064986228
16,0.10485079292207956,0.18447795383632182
17,0.10293149884790181,0.15360830441117287
18,0.10060366850346326,0.1408269552886486
19,0.10195652913302183,0.14827687215059995
