Split,OneStepRelativeL2,TrajectoryRelativeL2,TrajectoryRMSE,FinalFrameRelativeL2,FinalFrameRMSE,PredictionRMSRatio,MaxAmplitudeRatio,Cases
val,0.31625947980210184,0.09369254071265459,0.19699196803515182,0.10818993162363767,0.03516817336926707,1.075069926727845,1.2584261339809422,100
test,0.355715224519372,0.10164692364633084,0.2133653868883834,0.13466304052621125,0.07748468286735408,1.1039217157385948,1.313857724253817,100
