Epoch,TrainLoss,TrainRolloutLoss,TrainOneStepLoss,TrainStabilityPenalty,ValOneStepRelativeL2,ValTrajectoryRelativeL2,ValTrajectoryRMSE,ValFinalFrameRelativeL2,ValFinalFrameRMSE,ValPredictionRMSRatio,ValMaxAmplitudeRatio
1,1.5507815644197092,0.03451132353007683,0.03338759325014651,149.95764064662504,,,,,,,
2,0.047432323553106184,0.005692888190755375,0.004533399927591075,3.9472736169915947,0.2667674593394622,0.1615335827227682,0.36386333652605274,0.15061501297168434,0.04135674423717746,0.8978795316488437,1.0540459377998228
3,0.05932317014216862,0.0030830648190825934,0.003569868850377373,5.4455173687956995,,,,,,,
4,0.05776594854518695,0.002501983664168572,0.0031830063580491697,5.36724644004978,0.26221212290693074,0.13198977196589112,0.29832954692381786,0.13217592181172222,0.05859977952574097,1.0273530547878358,1.187206091104874
5,0.044426455977070296,0.0023236815025934206,0.002958593823295814,4.062347863500567,,,,,,,
6,0.05073942810531375,0.002213084821016405,0.002783110981365194,4.7134791278272425,0.3273867781390436,0.15286330180242658,0.33514166993698946,0.3911415783222765,0.21985529483433344,1.2727713108275307,1.5878204576398312
7,0.035873638593747224,0.0019108506222044908,0.0026674553324511708,3.262906138583525,,,,,,,
8,0.03642237097734515,0.0018971508321747503,0.0025569084023347962,3.324676624499765,0.2822147731203586,0.1293720647227019,0.2991909301621802,0.12820415361784399,0.048699281429563965,1.005106556752287,1.1688383444826749
9,0.01574454715426806,0.0018047796848469787,0.0024356439840295552,1.2721945807144226,,,,,,,
10,0.019175843274864938,0.0016252690808974683,0.002341180210506584,1.6379984821383131,0.2753314017318189,0.14299580687657,0.3217778716857919,0.21000287646893412,0.10708088737237986,1.0975988417643048,1.3651652837752104
11,0.12674772371002435,0.001560726258315921,0.0022846989054893414,12.404465034263554,,,,,,,
12,0.014154497251084218,0.001581118088071985,0.002281231644258361,1.1432763709312068,0.3402420082129538,0.12044550641439855,0.25600746943678965,0.16356146580073982,0.06704030930256188,0.991787444465814,1.158865773051152
13,0.03711796625807773,0.0014311494653750406,0.002192463803239183,3.4590585224708263,,,,,,,
14,0.02456010321933718,0.0013045995681041907,0.002137366338943378,2.2186820446185087,0.344958420319017,0.11478424130473286,0.2442996490311963,0.12286263704299927,0.04617532806930657,1.0852820834968764,1.3055839440963013
15,0.027013006793885755,0.0012465844914262753,0.0021103123815206155,2.471126666393373,,,,,,,
16,0.03046082195857372,0.0013053631228457992,0.002093186320956336,2.8108865703275527,0.366073198558297,0.16889752075076103,0.39481806341195,0.22244970314204693,0.21832881601978749,1.1573915651324023,1.4261607674691072
