Step,MeanRelativeL2,MedianRelativeL2,MeanRMSE,MeanPredictionRMS,MeanTargetRMS,MeanAbsPrediction,MeanAbsTarget,MeanMaxAbsPrediction,MeanMaxAbsTarget,RMSRatio
1,0.3411626282334328,0.25682008266448975,0.5308480097074062,2.169367790222168,1.9127475214004517,2.168828248977661,1.9122195410728455,2.308881998062134,2.0519956517219544,1.134163168923532
2,0.030689250119030474,0.021876337006688118,0.09147570468485355,3.8457323801517487,3.9031329786777498,3.845471626520157,3.9029552114009856,3.9455564653873445,3.958564658164978,0.9852937117849757
3,0.09006094306707382,0.02985671255737543,0.2593618381768465,4.44452094078064,4.603519827127457,4.443274206519127,4.603446320295334,4.6789987897872924,4.624499713182449,0.9654614529061276
4,0.09601730177178978,0.02980064321309328,0.2753664992377162,4.770621300935745,4.898680543899536,4.764991050958633,4.898655812740326,5.093837677240372,4.91123596072197,0.9738584213001465
5,0.2205675309896469,0.03872964344918728,0.5078342597559095,4.559397990107536,4.597593902349472,4.540099487900734,4.597568442821503,5.114279372692108,4.607875815629959,0.9916921952975409
6,0.7098283228464425,0.09073086827993393,1.2112364052981137,4.291418025493622,3.6408340084552764,4.222456346452236,3.640799819231033,5.487344000339508,3.6484774839878082,1.1786909305745508
7,2.37738340433687,0.19298982620239258,2.216842494904995,3.6570339596271513,2.099106785655022,3.54892739623785,2.0990777188539504,4.883607078790664,2.1034871518611906,1.7421857642587637
8,8.05486777126789,1.7543383836746216,3.067644188404083,2.98235701829195,0.2840878500044346,2.8403172832727432,0.28407318830490114,4.442338808178902,0.28623372852802276,10.498009746792746
9,52.12677514433861,2.1278921365737915,4.675323613286018,4.916014813184738,0.5176993554737419,4.6641906052827835,0.5176954791042954,7.366643351316452,0.518461637403816,9.495887451291374
10,78.7337922000885,10.395567417144775,9.625326704978942,10.21554580450058,0.7456771764811129,9.504860901832581,0.7456766803842038,16.638137340545654,0.745911872657016,13.699689526114025
11,83.99763009309768,34.6566219329834,15.771407294273377,16.6116952419281,0.9526125869527459,16.091612906455993,0.9526125496998429,18.792571783065796,0.9527227274607867,17.438038788744368
12,286.7231394815445,71.23585891723633,17.363630418777465,18.023999328613282,0.7467787694162689,17.849956150054933,0.7467787008034066,18.709047298431397,0.7469146774080582,24.135661144601123
13,104.64509310722352,77.02551651000977,18.077793588638304,18.063789939880373,0.3480065718619153,17.920062875747682,0.3480064097885042,18.582574195861817,0.34822150752414016,51.906462120054044
14,31.00742780685425,30.60589027404785,18.089668960571288,17.50467046737671,0.5956004241108894,17.24798581123352,0.5955999633669853,18.511510848999023,0.5960077068209648,29.389956351202454
15,19.028832149505615,19.176182746887207,18.786606130599974,17.76847270011902,1.0341227102279662,17.568491449356078,1.034120762348175,18.60187660217285,1.0352163159847259,17.18217047588295
16,10.65276819229126,11.311692237854004,19.979865818023683,17.992678327560427,2.0038883763551714,17.84850326538086,2.003862433433533,18.56201053619385,2.0105191600322723,8.978882526524215
17,6.431891722679138,6.840131998062134,21.449625911712648,18.044330644607545,3.4305282735824587,17.909830923080445,3.4303467965126035,18.587226791381838,3.4405415844917298,5.259927686228941
18,6.73887078166008,6.952749729156494,20.937306060791016,17.738497586250304,3.2460841822624205,17.568447318077087,3.2460668420791627,18.52706777572632,3.251003770828247,5.464583353438209
19,9.233559641838074,9.108797073364258,20.379540195465086,18.06345832824707,2.334120136499405,17.924351043701172,2.3341085839271547,18.53674949645996,2.337279825210571,7.7388725823417674
20,19.63945316314697,20.494497299194336,19.082892417907715,18.100121250152586,0.9899786227941513,17.975007095336913,0.9899712169170379,18.53674949645996,0.991883327960968,18.283345552519258
21,771.7383061790466,81.2232780456543,17.93021572113037,17.99052694320679,0.24644401204161112,17.840434141159058,0.2464406797362608,18.519131031036377,0.2473607475592871,73.00046284009188
22,241.56621557235718,50.18056678771973,17.734417610168457,18.06477348327637,0.40673402943764814,17.931197814941406,0.4067333250504453,18.511510848999023,0.40704663846991024,44.41421709477515
23,139.3776166152954,51.91427993774414,17.64679573059082,18.026616668701173,0.44302326419856397,17.880340938568114,0.4430231988802552,18.511510848999023,0.443097500638105,40.6900001093884
24,346.4187884521484,73.92623138427734,17.734757404327393,18.021077232360838,0.36150143293780274,17.869240856170656,0.3615014291042462,18.511510848999023,0.36150956942001355,49.85063844950626
25,443.98331233978274,146.7765884399414,18.005641498565673,17.99856258392334,0.1747327062813565,17.84565031051636,0.17473269490059465,18.511510848999023,0.1747678926284425,103.00626005838804
26,49.30520462036133,49.33133888244629,18.373176956176756,18.003418025970458,0.3733294978737831,17.845660934448244,0.37332947105169295,18.53674949645996,0.37339183062314985,48.22393657213
27,27.749089012145998,26.22892475128174,18.672627277374268,17.98900884628296,0.6903260311484337,17.827272090911865,0.6903259727358818,18.511510848999023,0.6904355409741402,26.058714338725217
28,17.38205867767334,15.855257987976074,19.041111335754394,17.910417919158935,1.1432273292541504,17.72738986968994,1.1432271617650986,18.511510848999023,1.1434615069627763,15.66654108141713
29,9.493283462524413,8.728095054626465,20.184291820526123,17.924794025421143,2.283593208193779,17.74221933364868,2.2835923331975936,18.53674949645996,2.2844346940517424,7.849381387676687
30,6.935940742492676,6.906959772109985,21.051882438659668,17.97732084274292,3.1032558619976043,17.809461669921873,3.1032458996772765,18.51660831451416,3.1064139771461488,5.793051440873037
31,8.028110542297362,8.058404922485352,20.525865612030028,17.944304237365724,2.6075770092010497,17.767833967208862,2.607554564476013,18.548565158843996,2.6107844281196595,6.8816008785350435
32,12.335797138214112,12.25574779510498,19.532062187194825,17.929963531494142,1.6195473098754882,17.749776353836058,1.61954207777977,18.511510848999023,1.621443074941635,11.070972377381558
33,43.01257250785827,41.704843521118164,18.482962493896483,17.99593883514404,0.49187581449747086,17.84028003692627,0.4918720731139183,18.521484661102296,0.4930993142724037,36.58634619701672
34,385.01013442993167,92.70878601074219,17.867629718780517,17.934238138198854,0.24717115768871736,17.764659633636473,0.24716874045901932,18.52621786117554,0.24787896709225607,72.5579728067823
35,435.454556312561,68.78448486328125,17.653190126419066,17.838817987442017,0.2828530820994638,17.658284845352174,0.28285212252056224,18.47078318595886,0.2831709004868753,63.067433648006315
36,292.5166501235962,88.17110061645508,17.77067615509033,17.92202067375183,0.23818727422971278,17.772392406463624,0.23818710232619197,18.477882299423218,0.23829229331575333,75.24340136017284
37,844.163246307373,166.98269653320312,17.921282987594605,17.924543991088868,0.13552560284500942,17.749181156158446,0.1355255896016024,18.511510848999023,0.13554953284852672,132.25946695539025
38,84.71490356445312,84.69521713256836,18.149461784362792,17.92735559463501,0.22467034235596656,17.74636661529541,0.22467033714056014,18.55513338088989,0.2246810469031334,79.79404583018349
