Case,Seed,Method,TrajectoryRelativeL2,FinalFrameRelativeL2,LocalCalls
803,123,CoarseOnly,0.11275196075439453,0.17357178032398224,0
835,123,CoarseOnly,0.04509896785020828,0.049807753413915634,0
871,123,CoarseOnly,0.04518742859363556,0.057025156915187836,0
979,123,CoarseOnly,0.0890691727399826,0.1483985185623169,0
980,123,CoarseOnly,0.08997780084609985,0.15061716735363007,0
834,123,CoarseOnly,0.04385625198483467,0.10835263133049011,0
829,123,CoarseOnly,0.10103943943977356,0.1668081283569336,0
981,123,CoarseOnly,0.04625023156404495,0.06028813123703003,0
808,123,CoarseOnly,0.06398860365152359,0.058310411870479584,0
965,123,CoarseOnly,0.04787103459239006,0.06185097619891167,0
934,123,CoarseOnly,0.06645042449235916,0.061560098081827164,0
971,123,CoarseOnly,0.07023690640926361,0.07181383669376373,0
861,123,CoarseOnly,0.5049211978912354,0.4907531440258026,0
977,123,CoarseOnly,0.07420091331005096,0.0884079784154892,0
990,123,CoarseOnly,0.05806076154112816,0.05828001722693443,0
828,123,CoarseOnly,0.04433364421129227,0.16435250639915466,0
858,123,CoarseOnly,0.12479317933320999,0.17556697130203247,0
938,123,CoarseOnly,0.4743615388870239,0.17097648978233337,0
976,123,CoarseOnly,0.043857574462890625,0.11327054351568222,0
955,123,CoarseOnly,0.043866921216249466,0.11924576014280319,0
872,123,CoarseOnly,0.1013491302728653,0.16706588864326477,0
867,123,CoarseOnly,0.07289816439151764,0.08244910836219788,0
841,123,CoarseOnly,0.043963707983493805,0.08819149434566498,0
830,123,CoarseOnly,0.04443738982081413,0.054629866033792496,0
946,123,CoarseOnly,0.42751020193099976,0.1509050726890564,0
952,123,CoarseOnly,0.044137679040431976,0.15123462677001953,0
923,123,CoarseOnly,0.045064568519592285,0.05131736397743225,0
925,123,CoarseOnly,0.04489612206816673,0.19322513043880463,0
953,123,CoarseOnly,0.04403594508767128,0.1429847627878189,0
846,123,CoarseOnly,0.12301906943321228,0.16336628794670105,0
930,123,CoarseOnly,0.06479007005691528,0.05894158408045769,0
863,123,CoarseOnly,0.04513225704431534,0.04591657593846321,0
899,123,CoarseOnly,0.05847163125872612,0.05805415287613869,0
821,123,CoarseOnly,0.06383436918258667,0.05814708024263382,0
910,123,CoarseOnly,0.12047627568244934,0.17545931041240692,0
921,123,CoarseOnly,0.1359737664461136,0.1705840528011322,0
909,123,CoarseOnly,0.1322706639766693,0.17327377200126648,0
843,123,CoarseOnly,0.08507267385721207,0.13658809661865234,0
902,123,CoarseOnly,0.05945274233818054,0.05765576660633087,0
957,123,CoarseOnly,0.0450848825275898,0.042886096984148026,0
852,123,CoarseOnly,0.06348066031932831,0.05783870071172714,0
856,123,CoarseOnly,0.13650162518024445,0.17266060411930084,0
906,123,CoarseOnly,0.10261964052915573,0.16807499527931213,0
869,123,CoarseOnly,0.0846870169043541,0.13523104786872864,0
839,123,CoarseOnly,0.05604822561144829,0.059346262365579605,0
908,123,CoarseOnly,0.09633177518844604,0.16182875633239746,0
832,123,CoarseOnly,0.04586624354124069,0.23231425881385803,0
907,123,CoarseOnly,0.055673398077487946,0.05961727350950241,0
920,123,CoarseOnly,0.45419394969940186,0.15417928993701935,0
837,123,CoarseOnly,0.0659017488360405,0.060612767934799194,0
864,123,CoarseOnly,0.12215302139520645,0.1642296463251114,0
875,123,CoarseOnly,0.0493442676961422,0.062210455536842346,0
935,123,CoarseOnly,0.17512065172195435,0.15531490743160248,0
967,123,CoarseOnly,0.06181763485074043,0.057208675891160965,0
900,123,CoarseOnly,0.22958028316497803,0.15892229974269867,0
891,123,CoarseOnly,0.04514305666089058,0.05687033012509346,0
927,123,CoarseOnly,0.046504758298397064,0.06080300360918045,0
956,123,CoarseOnly,0.1636018306016922,0.15763290226459503,0
964,123,CoarseOnly,0.07885795831680298,0.11081964522600174,0
806,123,CoarseOnly,0.045112334191799164,0.2027093917131424,0
983,123,CoarseOnly,0.12828285992145538,0.17493176460266113,0
888,123,CoarseOnly,0.4356209337711334,0.14706407487392426,0
845,123,CoarseOnly,0.10491347312927246,0.169672429561615,0
929,123,CoarseOnly,0.0843033567070961,0.13388444483280182,0
865,123,CoarseOnly,0.05254556983709335,0.06127182021737099,0
939,123,CoarseOnly,0.07695519924163818,0.10167665034532547,0
995,123,CoarseOnly,0.04612074792385101,0.06022845581173897,0
932,123,CoarseOnly,0.04509105905890465,0.04319077357649803,0
993,123,CoarseOnly,0.049702923744916916,0.06208815798163414,0
918,123,CoarseOnly,0.12750297784805298,0.1751163750886917,0
949,123,CoarseOnly,0.04502098262310028,0.04209937900304794,0
951,123,CoarseOnly,0.055779144167900085,0.05963841453194618,0
842,123,CoarseOnly,0.1372341811656952,0.17570146918296814,0
985,123,CoarseOnly,0.13363142311573029,0.16308948397636414,0
827,123,CoarseOnly,0.07599622011184692,0.0970064252614975,0
866,123,CoarseOnly,0.04636961594223976,0.06054789572954178,0
820,123,CoarseOnly,0.04979600012302399,0.06203996762633324,0
836,123,CoarseOnly,0.053360600024461746,0.060933224856853485,0
853,123,CoarseOnly,0.049891531467437744,0.06215494126081467,0
897,123,CoarseOnly,0.056677624583244324,0.05896364897489548,0
800,123,CoarseOnly,0.04389156028628349,0.09825768321752548,0
824,123,CoarseOnly,0.06355411559343338,0.057911716401576996,0
913,123,CoarseOnly,0.07324212789535522,0.0839887261390686,0
978,123,CoarseOnly,0.11503177136182785,0.17430919408798218,0
849,123,CoarseOnly,0.05991337448358536,0.057457514107227325,0
813,123,CoarseOnly,0.05871611833572388,0.057927463203668594,0
962,123,CoarseOnly,0.10837604105472565,0.17160670459270477,0
879,123,CoarseOnly,0.04503080993890762,0.0542060025036335,0
823,123,CoarseOnly,0.09416887909173965,0.1587296724319458,0
968,123,CoarseOnly,0.08606548607349396,0.13987459242343903,0
997,123,CoarseOnly,0.12210039049386978,0.16425015032291412,0
892,123,CoarseOnly,0.3569349944591522,0.18303965032100677,0
840,123,CoarseOnly,0.07738638669252396,0.10374090820550919,0
826,123,CoarseOnly,0.044635552912950516,0.18079423904418945,0
895,123,CoarseOnly,0.5099113583564758,1.9790400266647339,0
915,123,CoarseOnly,0.04510047286748886,0.043647315353155136,0
903,123,CoarseOnly,0.04394448176026344,0.133520245552063,0
991,123,CoarseOnly,0.05205634608864784,0.06146838515996933,0
804,123,CoarseOnly,0.045344773679971695,0.212362602353096,0
970,123,CoarseOnly,0.09390555322170258,0.15831215679645538,0
803,123,RandomMacro,0.11190930008888245,0.15492287278175354,76
835,123,RandomMacro,0.0462677888572216,0.06617162376642227,76
871,123,RandomMacro,0.04711313545703888,0.07851112633943558,76
979,123,RandomMacro,0.08791171759366989,0.13567371666431427,76
980,123,RandomMacro,0.09059768915176392,0.1425091177225113,76
834,123,RandomMacro,0.0444924421608448,0.10043518245220184,76
829,123,RandomMacro,0.1009950265288353,0.14799532294273376,76
981,123,RandomMacro,0.04824100062251091,0.060735542327165604,76
808,123,RandomMacro,0.07033047825098038,0.0831695944070816,76
965,123,RandomMacro,0.05151848495006561,0.10756051540374756,76
934,123,RandomMacro,0.068778857588768,0.07499346882104874,76
971,123,RandomMacro,0.07315335422754288,0.09614340960979462,76
861,123,RandomMacro,0.5743399262428284,0.3796224594116211,76
977,123,RandomMacro,0.07233815640211105,0.08797471970319748,76
990,123,RandomMacro,0.06025667116045952,0.06859124451875687,76
828,123,RandomMacro,0.045632001012563705,0.1487182378768921,76
858,123,RandomMacro,0.12590272724628448,0.15562278032302856,76
938,123,RandomMacro,0.4253172278404236,0.14486657083034515,76
976,123,RandomMacro,0.044236920773983,0.10616045445203781,76
955,123,RandomMacro,0.04500189051032066,0.11454926431179047,76
872,123,RandomMacro,0.10079791396856308,0.157700315117836,76
867,123,RandomMacro,0.0726219043135643,0.09404084086418152,76
841,123,RandomMacro,0.044418878853321075,0.08970655500888824,76
830,123,RandomMacro,0.045153066515922546,0.0638163834810257,76
946,123,RandomMacro,0.4733913838863373,0.738309383392334,76
952,123,RandomMacro,0.045412637293338776,0.1454925239086151,76
923,123,RandomMacro,0.04610791429877281,0.07352282106876373,76
925,123,RandomMacro,0.0457492358982563,0.19416704773902893,76
953,123,RandomMacro,0.04452061653137207,0.1556282937526703,76
846,123,RandomMacro,0.1275424212217331,0.14825861155986786,76
930,123,RandomMacro,0.0696428194642067,0.05720078945159912,76
863,123,RandomMacro,0.047398801892995834,0.07703319936990738,76
899,123,RandomMacro,0.06256329268217087,0.05073636397719383,76
821,123,RandomMacro,0.06938815861940384,0.07815100997686386,76
910,123,RandomMacro,0.11991973221302032,0.1570509970188141,76
921,123,RandomMacro,0.14936961233615875,0.1498500257730484,76
909,123,RandomMacro,0.13496175408363342,0.15187212824821472,76
843,123,RandomMacro,0.0882020890712738,0.13328200578689575,76
902,123,RandomMacro,0.06014411896467209,0.07156717032194138,76
957,123,RandomMacro,0.04557614400982857,0.042896293103694916,76
852,123,RandomMacro,0.07044269144535065,0.07980520278215408,76
856,123,RandomMacro,0.1563090831041336,0.1532493531703949,76
906,123,RandomMacro,0.10426240414381027,0.15688742697238922,76
869,123,RandomMacro,0.08736563473939896,0.1348959058523178,76
839,123,RandomMacro,0.05691200867295265,0.0781041607260704,76
908,123,RandomMacro,0.0968569815158844,0.14786992967128754,76
832,123,RandomMacro,0.045918628573417664,0.21371789276599884,76
907,123,RandomMacro,0.05479630082845688,0.06922557950019836,76
920,123,RandomMacro,0.5040386319160461,0.2882611155509949,76
837,123,RandomMacro,0.07012874633073807,0.07483232766389847,76
864,123,RandomMacro,0.13505910336971283,0.156389981508255,76
875,123,RandomMacro,0.05367743968963623,0.1076657846570015,76
935,123,RandomMacro,0.2001379132270813,0.1309228539466858,76
967,123,RandomMacro,0.0650293231010437,0.06218920275568962,76
900,123,RandomMacro,0.2047378420829773,0.1473928540945053,76
891,123,RandomMacro,0.047908760607242584,0.08618326485157013,76
927,123,RandomMacro,0.04968967288732529,0.11550743877887726,76
956,123,RandomMacro,0.21250496804714203,0.1693906933069229,76
964,123,RandomMacro,0.08009950071573257,0.10590999573469162,76
806,123,RandomMacro,0.04538217931985855,0.194084033370018,76
983,123,RandomMacro,0.12876497209072113,0.17487257719039917,76
888,123,RandomMacro,0.3863812983036041,0.23330974578857422,76
845,123,RandomMacro,0.1046387329697609,0.1539909839630127,76
929,123,RandomMacro,0.0846775695681572,0.12236755341291428,76
865,123,RandomMacro,0.05559520795941353,0.06385862082242966,76
939,123,RandomMacro,0.07938626408576965,0.10167475789785385,76
995,123,RandomMacro,0.04821490868926048,0.11243218928575516,76
932,123,RandomMacro,0.04514302685856819,0.06061117723584175,76
993,123,RandomMacro,0.053697388619184494,0.0698952004313469,76
918,123,RandomMacro,0.130586177110672,0.15169335901737213,76
949,123,RandomMacro,0.04751649126410484,0.06352406740188599,76
951,123,RandomMacro,0.05971577763557434,0.07304063439369202,76
842,123,RandomMacro,0.14045366644859314,0.15018339455127716,76
