Step,MeanRelativeL2,MedianRelativeL2,MeanRMSE,MeanPredictionRMS,MeanTargetRMS,MeanAbsPrediction,MeanAbsTarget,MeanMaxAbsPrediction,MeanMaxAbsTarget,RMSRatio
1,0.31625947980210184,0.24164976924657822,0.505408412963152,2.0844743251800537,1.9127475214004517,2.0836265087127686,1.9122195410728455,2.2560830116271973,2.0519956517219544,1.0897801732106647
2,0.019818058786913752,0.013092795852571726,0.057683073170483115,3.9268371760845184,3.9031329786777498,3.9262097334861754,3.9029552114009856,4.043314287662506,3.958564658164978,1.0060731206280342
3,0.014523422869388014,0.006058685947209597,0.04354714274406433,4.604386924505234,4.603519827127457,4.604201637506485,4.603446320295334,4.673754858970642,4.624499713182449,1.0001883553042756
4,0.008312471881508828,0.0032220068387687206,0.023800773937255146,4.902661303281784,4.898680543899536,4.902546473741531,4.898655812740326,4.946817439794541,4.91123596072197,1.000812618693253
5,0.01241046764422208,0.0026301449397578835,0.027644876237027348,4.601600250005722,4.597593902349472,4.601525604724884,4.597568442821503,4.634140470027924,4.607875815629959,1.000871400941741
6,0.010243705376051366,0.00553726521320641,0.02269750047940761,3.6299003517627715,3.6408340084552764,3.629828599691391,3.640799819231033,3.661159749031067,3.6484774839878082,0.9969969362329859
7,0.017342244295869023,0.00893319770693779,0.02195300441235304,2.0959313148260117,2.099106785655022,2.095820479989052,2.0990777188539504,2.129021050333977,2.1034871518611906,0.9984872275909397
8,0.11686926692724228,0.053276726976037025,0.027773601189255714,0.26390573151409624,0.2840878500044346,0.26362614616751673,0.28407318830490114,0.29955833196640014,0.28623372852802276,0.9289581779367779
9,0.09650853971019387,0.021242497488856316,0.01903612690977752,0.5146802613791078,0.5176993554737419,0.5142385376989842,0.5176954791042954,0.5493031573295594,0.518461637403816,0.9941682483033587
10,0.09547644923441112,0.02351868897676468,0.023532089833170174,0.7449877283303067,0.7456771764811129,0.7444737469544634,0.7456766803842038,0.7900552052259445,0.745911872657016,0.9990754066604804
11,0.14124774594791234,0.03473573550581932,0.03051412769127637,0.943732950789854,0.9526125869527459,0.9432767365919426,0.9526125496998429,0.9797560280561447,0.9527227274607867,0.9906786491334358
12,0.3303200312703848,0.1325782984495163,0.03441106987185776,0.7341535507002845,0.7467787694162689,0.7335957972705365,0.7467787008034066,0.7645989400148392,0.7469146774080582,0.9830937631959555
13,0.13674066719599068,0.0753311887383461,0.031045119850896297,0.3499717529024929,0.3480065718619153,0.349469838400837,0.3480064097885042,0.38888193368911744,0.34822150752414016,1.005646965314659
14,0.09313904357142747,0.07536723092198372,0.05069032596889883,0.6423529556393623,0.5956004241108894,0.6417723855376244,0.5955999633669853,0.692146987915039,0.5960077068209648,1.0784964711841247
15,0.10665532845072448,0.09839436039328575,0.0922129736840725,1.1174922287464142,1.0341227102279662,1.116526585817337,1.034120762348175,1.2089882218837738,1.0352163159847259,1.0806185936097175
16,0.16568450288381428,0.18961278349161148,0.27931141400709747,2.237408711314201,2.0038883763551714,2.2366524344682692,2.003862433433533,2.3311770296096803,2.0105191600322723,1.1165336042238914
17,0.08589825120288878,0.07250218093395233,0.2741708886343986,3.5077536153793334,3.4305282735824587,3.5074056005477905,3.4303467965126035,3.5746721124649046,3.4405415844917298,1.0225112098307323
18,0.0373786783288233,0.0237508499994874,0.10863779335748404,3.2901091706752776,3.2460841822624205,3.289980340003967,3.2460668420791627,3.3346286845207214,3.251003770828247,1.013562491279007
19,0.03879726896062494,0.016676648519933224,0.07343289866112172,2.3565283113718034,2.334120136499405,2.356410537958145,2.3341085839271547,2.398149389028549,2.337279825210571,1.0096002662939214
20,0.04711953718215227,0.01938392035663128,0.04671065690927208,1.0195133474469185,0.9899786227941513,1.019375718832016,0.9899712169170379,1.0509328842163086,0.991883327960968,1.0298336994079804
21,0.3829130110144615,0.23389285057783127,0.04150037007872015,0.23698223491664977,0.24644401204161112,0.23655913112219423,0.2464406797362608,0.2642157459259033,0.2473607475592871,0.9616067883062878
22,0.24247560543939473,0.059152983129024506,0.034498866265639666,0.3827738445578143,0.40673402943764814,0.382098964038305,0.4067333250504453,0.4195416593551636,0.40704663846991024,0.9410912705952801
23,0.21945808097720146,0.08521634340286255,0.03189816351048649,0.42117230356670915,0.44302326419856397,0.420629698978737,0.4430231988802552,0.4544656664133072,0.443097500638105,0.9506776226043488
24,0.4005046696960926,0.15718959271907806,0.04233763368334621,0.3277927326131612,0.36150143293780274,0.32726259196177127,0.3615014291042462,0.3585067743062973,0.36150956942001355,0.9067536190639632
25,0.4198505386710167,0.2816414088010788,0.02798878858331591,0.15675971700809896,0.1747327062813565,0.1562477288185619,0.17473269490059465,0.18543543457984923,0.1747678926284425,0.8971400966896418
26,0.10666220992803574,0.10257503017783165,0.03967570953071117,0.4095599928498268,0.3733294978737831,0.40920821338891983,0.37332947105169295,0.44674808263778687,0.37339183062314985,1.0970469657029156
27,0.09457237835973502,0.09401748329401016,0.06297626370564104,0.7461212480068207,0.6903260311484337,0.7455497625470161,0.6903259727358818,0.8084978181123733,0.6904355409741402,1.080824442858638
28,0.17318852027878165,0.17580968141555786,0.1944949337467551,1.3281608003377914,1.1432273292541504,1.3272217446565628,1.1432271617650986,1.4226782888174057,1.1434615069627763,1.1617643895937064
29,0.19597790585830807,0.1992747187614441,0.43034997962415217,2.683021867275238,2.283593208193779,2.6821435636281965,2.2835923331975936,2.776502002477646,2.2844346940517424,1.1749123520109737
30,0.07972540733637289,0.04683529585599899,0.2407630340754986,3.0847695297002793,3.1032558619976043,3.0840279352664948,3.1032458996772765,3.152662743330002,3.1064139771461488,0.994042923587543
31,0.05007428716868162,0.02481783740222454,0.14499253572896123,2.558220187425613,2.6075770092010497,2.55766152381897,2.607554564476013,2.627691948413849,2.6107844281196595,0.9810717683116253
32,0.04148374376818538,0.018643682822585106,0.077377870073542,1.6327949631214143,1.6195473098754882,1.6324234068393708,1.61954207777977,1.6843474197387696,1.621443074941635,1.0081798494956868
33,0.10231673534959555,0.08220982924103737,0.05934779765084386,0.5317366591095924,0.49187581449747086,0.5313630890846253,0.4918720731139183,0.5745294797420502,0.4930993142724037,1.0810384317286381
34,0.40218944404274226,0.2530878931283951,0.04936660802923143,0.24110664307139815,0.24717115768871736,0.24038181095151231,0.24716874045901932,0.2807555133104324,0.24787896709225607,0.9754643111517213
35,0.48332073729485275,0.18268512934446335,0.04177105020266026,0.2640417427709326,0.2828530820994638,0.26298407358117404,0.28285212252056224,0.3090882414579392,0.2831709004868753,0.9334943102302266
36,0.4490228675678372,0.22042926400899887,0.04505419464316219,0.21316283797379584,0.23818727422971278,0.2122850492782891,0.23818710232619197,0.24952276825904846,0.23829229331575333,0.8949379796345339
37,0.8088950656354428,0.2459660768508911,0.03580751641653478,0.12294874088838696,0.13552560284500942,0.12214290417730808,0.1355255896016024,0.1556424790620804,0.13554953284852672,0.9071993653405425
38,0.10818993162363767,0.08428166061639786,0.026244076057337223,0.24153632849454879,0.22467034235596656,0.2410479225218296,0.22467033714056014,0.2827445012331009,0.2246810469031334,1.075069926727845
