Metric,V1,V2,Improvement
OneStepRelL2,0.3411626282334328,0.31625947980210184,0.07299494836313532
TrajectoryRelL2,8.250487332344056,0.09369254071265459,0.988643999204101
FinalFrameRelL2,84.71490356445312,0.10818993162363767,0.9987228937640078
TrajectoryRMSE,16.127845827677657,0.19699196803515182,0.9877855995065946
FinalRMSE,18.152377568349788,0.03516817336926707,0.998062613382911
