LatentDim,ExplainedVarianceRatio,ReconstructionRelativeL2Mean,ReconstructionRelativeL2Median,TrainSamples
16,0.9937668442726135,0.10816463828086853,0.11487528681755066,3200
32,0.999908983707428,0.018001282587647438,0.018763108178973198,3200
64,0.9999291300773621,0.016178028658032417,0.01709187962114811,3200
96,0.9999353885650635,0.015537241473793983,0.016637254506349564,3200
