Horizon,Cases,GreedyFinalErrorMean,LongFinalErrorMean,MedianCaseRelativeGain,PositiveCaseRate,ActionsDifferentRate,AbsoluteSequentialGain,RelativeSequentialGain
5,64,0.13408589095342904,0.1341634050477296,0.0,0.28125,0.178125,-7.75140943005681e-05,-0.0005780928459317949
10,64,0.13334166130516678,0.13241416576784104,0.005994818238743927,0.75,0.309375,0.0009274955373257399,0.006955782073264156
20,64,0.13349415629636496,0.13090821844525635,0.017020675994128265,0.921875,0.546875,0.0025859378511086106,0.019371168917444406
