Case,SolverStep,LatentDistance,CorrectionDifference,NextErrorDifference
854,0,1.0,0.10035841166973114,0.017880931496620178
854,0,1.0,0.10035841166973114,0.005498334765434265
854,0,2.999999761581421,0.34258317947387695,0.09514346718788147
854,0,2.999999761581421,0.34258317947387695,0.112388476729393
854,0,1.0,0.11241160333156586,0.01186998188495636
854,0,1.0,0.11241160333156586,0.017440199851989746
854,0,3.0,0.28411030769348145,0.10554707050323486
854,0,3.0,0.28411030769348145,0.04396858811378479
854,0,1.0,0.11333107203245163,0.01819053292274475
854,0,1.0,0.11333107203245163,0.011556550860404968
854,0,3.0,0.26024776697158813,0.07147163152694702
854,0,3.0,0.26024776697158813,0.06160120666027069
854,0,1.0,0.1081494465470314,0.020875439047813416
854,0,1.0,0.1081494465470314,0.006032243371009827
854,0,3.000000238418579,0.2753976583480835,0.07524025440216064
854,0,3.000000238418579,0.2753976583480835,0.07105028629302979
854,0,1.0,0.11736740171909332,0.003090381622314453
854,0,1.0,0.11736740171909332,0.02777133882045746
854,0,3.0,0.2646484076976776,0.0825904905796051
854,0,3.0,0.2646484076976776,0.05332978069782257
854,0,1.0,0.09307292848825455,0.008136823773384094
854,0,1.0,0.09307292848825455,0.012280747294425964
854,0,3.0,0.28455960750579834,0.08271189033985138
854,0,3.0,0.28455960750579834,0.07153785228729248
854,0,0.9999999403953552,0.0832367092370987,0.006808415055274963
854,0,0.9999999403953552,0.0832367092370987,0.00964750349521637
854,0,2.999999761581421,0.26097404956817627,0.06894926726818085
854,0,2.999999761581421,0.26097404956817627,0.06484460830688477
854,0,1.0,0.09064722806215286,0.01717299222946167
854,0,1.0,0.09064722806215286,0.001853257417678833
854,0,3.0,0.32834213972091675,0.0799311101436615
854,0,3.0,0.32834213972091675,0.11327677965164185
854,0,1.0,0.09355814009904861,0.01046888530254364
854,0,1.0,0.09355814009904861,0.010184168815612793
854,0,3.0,0.266103059053421,0.05625608563423157
854,0,3.0,0.266103059053421,0.08120791614055634
854,0,1.0,0.09981533139944077,0.009485393762588501
854,0,1.0,0.09981532394886017,0.013876184821128845
854,0,2.999999761581421,0.30434730648994446,0.1039787232875824
854,0,2.999999761581421,0.30434730648994446,0.06666192412376404
854,0,1.0,0.08336395770311356,0.013025268912315369
854,0,1.0,0.08336395770311356,0.003330245614051819
854,0,3.000000238418579,0.3128510117530823,0.09030516445636749
854,0,3.000000238418579,0.3128510117530823,0.08970275521278381
854,0,1.0,0.1306510865688324,0.015305295586585999
854,0,1.0,0.1306510865688324,0.02358946204185486
854,0,3.0,0.29217782616615295,0.08377052843570709
854,0,3.0,0.29217782616615295,0.07738268375396729
854,0,1.0,0.1030336320400238,0.009421318769454956
854,0,1.0,0.1030336320400238,0.015381395816802979
854,0,3.0,0.31097400188446045,0.09351614117622375
854,0,3.0,0.31097400188446045,0.08467799425125122
854,0,0.9999999403953552,0.11328385025262833,0.013186708092689514
854,0,0.9999999403953552,0.11328385025262833,0.016590610146522522
854,0,3.0,0.2725903391838074,0.08240807056427002
854,0,3.0,0.2725903391838074,0.060890451073646545
854,0,1.0,0.1057288870215416,0.014586001634597778
854,0,1.0,0.1057288870215416,0.011520683765411377
854,0,3.0,0.28119707107543945,0.08908069133758545
854,0,3.0,0.28119707107543945,0.061430469155311584
854,0,1.0000001192092896,0.09008604288101196,0.019613191485404968
854,0,1.0000001192092896,0.09008604288101196,-0.0011585354804992676
854,0,3.0,0.32911279797554016,0.0973426103591919
893,0,1.0,0.09996666759252548,0.016186967492103577
893,0,1.0,0.09996666759252548,0.004944950342178345
893,0,3.000000238418579,0.30041995644569397,0.08516785502433777
893,0,3.000000238418579,0.30041995644569397,0.0708315521478653
893,0,0.9999999403953552,0.08098895847797394,0.0091124027967453
893,0,0.9999999403953552,0.08098895847797394,0.005044013261795044
893,0,3.000000238418579,0.26220613718032837,0.07123897969722748
893,0,3.000000238418579,0.26220613718032837,0.05290199816226959
893,0,0.9999999403953552,0.08997360616922379,0.00489354133605957
893,0,0.9999999403953552,0.08997360616922379,0.012418597936630249
893,0,3.0,0.2229531705379486,0.05548502504825592
893,0,3.0,0.2229531705379486,0.038376763463020325
893,0,0.9999999403953552,0.11073313653469086,0.009909138083457947
893,0,0.9999999403953552,0.11073313653469086,0.016009017825126648
893,0,3.000000238418579,0.33690640330314636,0.10678905248641968
893,0,3.000000238418579,0.33690640330314636,0.08055098354816437
893,0,0.9999999403953552,0.09395775943994522,0.00545656681060791
893,0,0.9999999403953552,0.09395775198936462,0.013371393084526062
893,0,2.999999761581421,0.25268372893333435,0.06450508534908295
893,0,2.999999761581421,0.25268372893333435,0.052285224199295044
893,0,1.0,0.0941496267914772,-0.00043423473834991455
893,0,1.0,0.0941496267914772,0.018817812204360962
893,0,3.000000238418579,0.32575875520706177,0.09254516661167145
893,0,3.000000238418579,0.32575875520706177,0.08560661971569061
893,0,0.9999999403953552,0.09494461119174957,0.0011266618967056274
893,0,0.9999999403953552,0.09494461119174957,0.017729535698890686
893,0,3.0,0.29001089930534363,0.08011618256568909
893,0,3.0,0.29001089930534363,0.06710690259933472
893,0,1.0,0.10680202394723892,0.01268845796585083
893,0,1.0,0.10680203139781952,0.011549413204193115
