LatentDim,Case,SolverStep,LatentDistance,CorrectionDifference,NextErrorDifference,CorrectionNorm,RelativeStateChange
16,854,0,0.4115712642669678,0.004707439336925745,0.00032119452953338623,0.004707439336925745,0.0027830018661916256
16,854,0,0.4115712642669678,0.004707439336925745,-0.00026755034923553467,0.004707439336925745,0.0027830018661916256
16,854,0,2.6409013271331787,0.030205901712179184,-0.0009630918502807617,0.030205901712179184,0.017857497557997704
16,854,0,2.6409013271331787,0.030205901712179184,0.003157690167427063,0.030205901712179184,0.017857497557997704
16,854,0,0.19057932496070862,0.0021797947119921446,-8.766353130340576e-05,0.0021797947119921446,0.0012886779149994254
16,854,0,0.19057932496070862,0.0021797947119921446,9.924173355102539e-05,0.0021797947119921446,0.0012886779149994254
16,854,0,0.9907100796699524,0.011331472545862198,0.00031538307666778564,0.011331472545862198,0.006699079647660255
16,854,0,0.9907100796699524,0.011331472545862198,-1.2516975402832031e-06,0.011331472545862198,0.006699079647660255
16,854,0,0.2740922272205353,0.0031349919736385345,-2.308189868927002e-05,0.0031349919736385345,0.001853383146226406
16,854,0,0.2740922272205353,0.0031349919736385345,4.7147274017333984e-05,0.0031349919736385345,0.001853383146226406
16,854,0,1.8067902326583862,0.020665567368268967,-0.0002598315477371216,0.020665567368268967,0.01221732422709465
16,854,0,1.8067902326583862,0.020665567368268967,0.0012993812561035156,0.020665567368268967,0.01221732422709465
16,854,0,0.20230309665203094,0.002313887467607856,5.105137825012207e-05,0.002313887467607856,0.0013679524417966604
16,854,0,0.20230309665203094,0.0023138877004384995,-3.795325756072998e-05,0.0023138877004384995,0.0013679525582119823
16,854,0,0.9554440975189209,0.010928110219538212,0.0009902119636535645,0.010928110219538212,0.006460614502429962
16,854,0,0.9554440975189209,0.010928110219538212,-0.0007031410932540894,0.010928110219538212,0.006460614502429962
16,854,0,0.393591046333313,0.00450178561732173,0.0002862215042114258,0.00450178561732173,0.002661420963704586
16,854,0,0.393591046333313,0.00450178561732173,-0.0002370774745941162,0.00450178561732173,0.002661420963704586
16,854,0,1.5193361043930054,0.01737775281071663,0.00015576183795928955,0.01737775281071663,0.010273593477904797
16,854,0,1.5193361043930054,0.01737775281071663,0.0005825608968734741,0.01737775281071663,0.010273593477904797
16,854,0,0.26443788409233093,0.0030245680827647448,0.00016236305236816406,0.003024567849934101,0.0017881013918668032
16,854,0,0.26443788409233093,0.0030245680827647448,-0.00014013051986694336,0.0030245680827647448,0.0017881013918668032
16,854,0,1.2100590467453003,0.013840326108038425,8.481740951538086e-05,0.013840326108038425,0.00818229466676712
16,854,0,1.2100590467453003,0.013840326108038425,0.0003838092088699341,0.013840326108038425,0.00818229466676712
16,854,0,0.49069011211395264,0.00561237707734108,0.0001640021800994873,0.005612377543002367,0.0033179940655827522
16,854,0,0.49069011211395264,0.00561237707734108,-8.696317672729492e-05,0.005612377543002367,0.0033179940655827522
16,854,0,2.3551690578460693,0.026937775313854218,-0.0005448013544082642,0.026937775313854218,0.01592540554702282
16,854,0,2.3551690578460693,0.026937775313854218,0.002301543951034546,0.026937775313854218,0.01592540554702282
16,854,0,0.3648333251476288,0.004172863904386759,7.943809032440186e-05,0.004172863904386759,0.00246696500107646
16,854,0,0.3648333251476288,0.004172863904386759,-3.680586814880371e-05,0.004172863904386759,0.00246696500107646
16,854,0,1.234147071838379,0.014115837402641773,-3.6522746086120605e-05,0.014115837402641773,0.008345174603164196
16,854,0,1.234147071838379,0.014115837402641773,0.0005235522985458374,0.014115837402641773,0.008345174603164196
16,854,0,0.31391069293022156,0.0035904236137866974,-4.4673681259155273e-05,0.0035904236137866974,0.0021226308308541775
16,854,0,0.31391069293022156,0.0035904236137866974,7.623434066772461e-05,0.0035904236137866974,0.0021226308308541775
16,854,0,2.6929445266723633,0.030801158398389816,0.0023871660232543945,0.030801158398389816,0.018209407106041908
