Horizon,MeanRelativeOracleGain,MedianRelativeOracleGain,PositiveGainRate,ActionsDifferentRate,Samples
5,0.001585171989137894,0.0,0.328125,0.328125,64
10,0.006084060000742291,0.00024506307674378695,0.5,0.5,64
20,0.009879544272583592,0.01013260853384302,0.84375,0.84375,64
