Horizon,Case,SolverStep,Stage,ActionsDifferent,ImmediateGain,GreedyFinalError,LongFinalError,TrajectoryGain
5,854,0,Early,True,-0.009176770225167274,0.13563942909240723,0.13394051790237427,0.001698911190032959
5,854,1,Early,False,0.0,0.13563942909240723,0.13394051790237427,0.001698911190032959
5,854,2,Early,False,0.0,0.13563942909240723,0.13394051790237427,0.001698911190032959
5,854,3,Early,True,-0.003073698841035366,0.13563942909240723,0.13394051790237427,0.001698911190032959
5,854,4,Early,False,0.0,0.13563942909240723,0.13394051790237427,0.001698911190032959
5,893,0,Early,False,0.0,0.1357748955488205,0.1357748955488205,0.0
5,893,1,Early,False,0.0,0.1357748955488205,0.1357748955488205,0.0
5,893,2,Early,False,0.0,0.1357748955488205,0.1357748955488205,0.0
5,893,3,Early,False,0.0,0.1357748955488205,0.1357748955488205,0.0
5,893,4,Early,False,0.0,0.1357748955488205,0.1357748955488205,0.0
5,998,0,Early,False,0.0,0.13939720392227173,0.13938753306865692,9.670853614807129e-06
5,998,1,Early,False,0.0,0.13939720392227173,0.13938753306865692,9.670853614807129e-06
5,998,2,Early,True,-0.003917841240763664,0.13939720392227173,0.13938753306865692,9.670853614807129e-06
5,998,3,Early,False,0.0,0.13939720392227173,0.13938753306865692,9.670853614807129e-06
5,998,4,Early,False,0.0,0.13939720392227173,0.13938753306865692,9.670853614807129e-06
5,802,0,Early,False,0.0,0.13782896101474762,0.14037859439849854,-0.0025496333837509155
5,802,1,Early,True,-0.015248928219079971,0.13782896101474762,0.14037859439849854,-0.0025496333837509155
5,802,2,Early,False,0.0,0.13782896101474762,0.14037859439849854,-0.0025496333837509155
5,802,3,Early,True,-0.0009794970974326134,0.13782896101474762,0.14037859439849854,-0.0025496333837509155
5,802,4,Early,False,0.0,0.13782896101474762,0.14037859439849854,-0.0025496333837509155
5,919,0,Early,False,0.0,0.14028304815292358,0.14028304815292358,0.0
5,919,1,Early,False,0.0,0.14028304815292358,0.14028304815292358,0.0
5,919,2,Early,False,0.0,0.14028304815292358,0.14028304815292358,0.0
5,919,3,Early,False,0.0,0.14028304815292358,0.14028304815292358,0.0
5,919,4,Early,False,0.0,0.14028304815292358,0.14028304815292358,0.0
5,860,0,Early,False,0.0,0.1383177638053894,0.13444210588932037,0.0038756579160690308
5,860,1,Early,True,-0.006306411698460579,0.1383177638053894,0.13444210588932037,0.0038756579160690308
5,860,2,Early,False,0.0,0.1383177638053894,0.13444210588932037,0.0038756579160690308
5,860,3,Early,False,0.0,0.1383177638053894,0.13444210588932037,0.0038756579160690308
