Case,Seed,Method,TrajectoryRelativeL2,FinalFrameRelativeL2,LocalCalls
803,42,CoarseOnly,10.52287483215332,67.86088562011719,0
835,42,CoarseOnly,5.905643939971924,99.99481964111328,0
871,42,CoarseOnly,6.147817611694336,98.02425384521484,0
979,42,CoarseOnly,9.644883155822754,74.10160827636719,0
980,42,CoarseOnly,9.710439682006836,72.4802017211914,0
834,42,CoarseOnly,5.01032829284668,116.07966613769531,0
829,42,CoarseOnly,10.013280868530273,72.07533264160156,0
981,42,CoarseOnly,6.337623119354248,96.80473327636719,0
808,42,CoarseOnly,7.823235034942627,86.40870666503906,0
965,42,CoarseOnly,6.423593521118164,93.23651885986328,0
934,42,CoarseOnly,8.065332412719727,84.5404052734375,0
971,42,CoarseOnly,8.402152061462402,80.95964050292969,0
861,42,CoarseOnly,13.021913528442383,52.74209976196289,0
977,42,CoarseOnly,8.660021781921387,78.78260040283203,0
990,42,CoarseOnly,7.20894718170166,90.9229736328125,0
828,42,CoarseOnly,4.836719989776611,116.72802734375,0
858,42,CoarseOnly,10.964653968811035,65.25723266601562,0
938,42,CoarseOnly,13.600903511047363,51.075374603271484,0
976,42,CoarseOnly,5.00972318649292,114.50257110595703,0
955,42,CoarseOnly,5.009406566619873,115.73258972167969,0
872,42,CoarseOnly,10.083121299743652,71.64055633544922,0
867,42,CoarseOnly,8.597291946411133,80.62762451171875,0
841,42,CoarseOnly,5.1514892578125,113.34320068359375,0
830,42,CoarseOnly,5.375027656555176,109.63909912109375,0
946,42,CoarseOnly,12.838706970214844,50.74284744262695,0
952,42,CoarseOnly,4.909188747406006,117.97972106933594,0
923,42,CoarseOnly,5.950250625610352,101.83297729492188,0
925,42,CoarseOnly,4.747666835784912,123.6226577758789,0
953,42,CoarseOnly,4.931000232696533,118.72451782226562,0
846,42,CoarseOnly,12.35904312133789,57.49250411987305,0
930,42,CoarseOnly,7.900401592254639,86.23924255371094,0
863,42,CoarseOnly,5.806816577911377,102.62234497070312,0
899,42,CoarseOnly,7.236356258392334,84.05291748046875,0
821,42,CoarseOnly,7.7775468826293945,87.39089965820312,0
910,42,CoarseOnly,10.844969749450684,68.00860595703125,0
921,42,CoarseOnly,12.065237045288086,61.0434455871582,0
909,42,CoarseOnly,11.167210578918457,64.03606414794922,0
843,42,CoarseOnly,9.361764907836914,74.45487213134766,0
902,42,CoarseOnly,7.311136245727539,89.39027404785156,0
957,42,CoarseOnly,5.706298351287842,104.6971435546875,0
852,42,CoarseOnly,7.777535438537598,86.50344848632812,0
856,42,CoarseOnly,12.033075332641602,60.88056182861328,0
906,42,CoarseOnly,10.169880867004395,66.45789337158203,0
869,42,CoarseOnly,9.377318382263184,74.86038208007812,0
839,42,CoarseOnly,7.088257789611816,90.68769073486328,0
908,42,CoarseOnly,9.99487590789795,71.83149719238281,0
