Split,OneStepRelativeL2,TrajectoryRelativeL2,FinalFrameRelativeL2,Cases
val,0.3411626282334328,8.250487332344056,84.71490356445312,100
test,0.37752211092039945,8.377350487709045,84.76662616729736,100
