Case,Codec reconstruction error,Spectral energy retention
0,0.0,0.40455561876296997
1,0.0,0.4423030614852905
2,0.0,0.48647990822792053
3,0.0,0.40311285853385925
4,0.0,0.5513365268707275
5,0.0,0.4549550414085388
6,0.0,0.4737251400947571
7,0.0,0.39387592673301697
