Method,Initial quality,Relative L2,PDE residual norm,BC error,IC error,Physics energy,Wall time,Refinement steps,STOP,Failure,Per-step improvement,Samples
Coarse + RL-FM,coarse,1.00902 +/- 0.452948,294182 +/- 39734.2,0 +/- 0,0.310412 +/- 0.606363,294185 +/- 39734.9,0.120112 +/- 0.00869458,10 +/- 0,0 +/- 0,0 +/- 0,-0.0904337 +/- 0.0438708,24
LNO only,lno,0.104686 +/- 0.0361394,2950.7 +/- 3650.6,0 +/- 0,0.310412 +/- 0.606363,2953.81 +/- 3656.13,0 +/- 0,0 +/- 0,1 +/- 0,0 +/- 0,0 +/- 0,24
RL-FM,lno,0.105023 +/- 0.0362686,2952.16 +/- 3651.56,0 +/- 0,0.310412 +/- 0.606363,2955.26 +/- 3657.08,0.12201 +/- 0.00849895,10 +/- 0,0 +/- 0,0 +/- 0,-3.37143e-05 +/- 6.53238e-05,24
