Cycle,States,MeanFeasibleActions,ReturnMean,ReturnStd,PositiveAdvantageRate,MeanBestAdvantage,PolicyChangeRate,OldValError,NewValError,Accepted
1,408,3.4191176470588234,0.04038097450697364,0.04568454695766153,0.7181372549019608,0.04038097450697364,0.7181372549019608,0.7527967035770416,0.7444587558507919,True
2,408,3.534313725490196,0.03043334231944003,0.03509263268749495,0.6764705882352942,0.03043334231944003,0.6764705882352942,0.7444587558507919,0.6991320848464966,True
3,408,3.406862745098039,0.023268020005212848,0.028612462223104883,0.6323529411764706,0.023268020005212848,0.6323529411764706,0.6991320848464966,0.7243247747421264,False
4,408,3.4436274509803924,0.023582181256484886,0.02790376998375891,0.6642156862745098,0.023582181256484886,0.6642156862745098,0.6991320848464966,0.7423054814338684,False
5,408,3.448529411764706,0.022259737098486245,0.028158797126129478,0.6151960784313726,0.022259737098486245,0.6151960784313726,0.6991320848464966,0.7423638522624969,False
