Method,TrajectoryRelativeL2Mean,TrajectoryRelativeL2Std,FinalFrameRelativeL2Mean,FinalFrameRelativeL2Std,RelativeGainVsMyopicMean,RelativeGainVsMyopicStd,RelativeGainVsBeamBCMean,RelativeGainVsBeamBCStd,LocalCallsMean,LocalCallsStd,WallTimeMean,WallTimeStd
BeamBC,0.7394034743309023,0.0,1.080302882194519,0.0,-0.3049261615213319,0.0,0.0,0.0,32.0,0.0,28.149360266669344,2.3158899624079323
CoarseOnly,0.7403468310832976,0.0,1.056560012102127,0.0,-0.4328986862361143,0.0,-0.1275834892781913,0.0,0.0,0.0,20.436852766664135,1.8073451426969473
GradientMacro,0.7694246983528137,0.0,1.210167157649994,0.0,-4.377501911211011,0.0,-4.060195152461005,0.0,32.0,0.0,33.463340566668194,12.127697613914746
ImmediateOnlyPI,0.7302454368273418,0.0005713693300392394,1.082183777888616,0.0008790043170171139,0.9374216329765578,0.07750999346115665,1.2385710672847046,0.07727436371005535,32.0,0.0,27.981604633331397,2.311709847492776
RV-PI,0.6910258269309998,0.008778871691884956,0.9820916259288787,0.03584723883978005,6.2578186980513655,1.1909114676974226,6.542794168458574,1.1872911065002878,32.0,0.0,27.89896839999953,2.4341999759031068
RandomMacro,0.7080930117766062,0.0054198794032441315,1.0206982294718425,0.011186960790865579,3.9425432426949527,0.7352421542767313,4.234557131697173,0.7330070240944782,32.0,0.0,28.119658466668625,3.2635417612327737
SetAwareMyopicMacro,0.7371556937694551,0.0,1.0172574305534363,0.0,0.0,0.0,0.30399918846489,0.0,32.0,0.0,31.27200763333288,9.850885845361995
UniformMacro,0.7371556937694551,0.0,1.0172574305534363,0.0,0.0,0.0,0.30399918846489,0.0,32.0,0.0,31.58414063333233,10.373904706116585
