Split,OneStepRelativeL2,TrajectoryRelativeL2,FinalFrameRelativeL2,Cases,WallTime
val,0.07747779972851276,0.7507907718420028,1.0785601407289505,20,1.1367834999982733
test,0.07752368032932282,0.7403468310832977,1.056560012102127,50,2.3083191999903647
