Case,Method,PhysicalStep,Q,RemainingBudget,SelectedPatches,FrameError
255,CoarseOnly,4,0,32,[],0.3630756735801697
255,CoarseOnly,5,0,32,[],0.7252448201179504
255,CoarseOnly,6,0,32,[],0.9837177395820618
255,CoarseOnly,7,0,32,[],1.0643171072006226
255,CoarseOnly,8,0,32,[],1.0347354412078857
255,CoarseOnly,9,0,32,[],0.9890514016151428
255,CoarseOnly,10,0,32,[],0.9226921200752258
255,CoarseOnly,11,0,32,[],0.9765770435333252
255,CoarseOnly,12,0,32,[],1.0005359649658203
255,CoarseOnly,13,0,32,[],1.1009869575500488
255,CoarseOnly,14,0,32,[],1.1234396696090698
255,CoarseOnly,15,0,32,[],1.147168517112732
255,CoarseOnly,16,0,32,[],1.1173471212387085
256,CoarseOnly,0,0,32,[],0.07753876596689224
256,CoarseOnly,1,0,32,[],0.10968980938196182
256,CoarseOnly,2,0,32,[],0.14029695093631744
256,CoarseOnly,3,0,32,[],0.2134471833705902
256,CoarseOnly,4,0,32,[],0.45138272643089294
256,CoarseOnly,5,0,32,[],0.7746737003326416
256,CoarseOnly,6,0,32,[],0.9735535979270935
256,CoarseOnly,7,0,32,[],1.0376561880111694
256,CoarseOnly,8,0,32,[],1.0547760725021362
256,CoarseOnly,9,0,32,[],1.037407398223877
256,CoarseOnly,10,0,32,[],1.1204043626785278
256,CoarseOnly,11,0,32,[],1.1397210359573364
256,CoarseOnly,12,0,32,[],1.0823769569396973
256,CoarseOnly,13,0,32,[],1.0676605701446533
256,CoarseOnly,14,0,32,[],1.0907573699951172
256,CoarseOnly,15,0,32,[],1.1052182912826538
256,CoarseOnly,16,0,32,[],1.0988892316818237
257,CoarseOnly,0,0,32,[],0.07753735035657883
257,CoarseOnly,1,0,32,[],0.10898952186107635
257,CoarseOnly,2,0,32,[],0.13290829956531525
257,CoarseOnly,3,0,32,[],0.15851600468158722
257,CoarseOnly,4,0,32,[],0.23805171251296997
257,CoarseOnly,5,0,32,[],0.5081971883773804
257,CoarseOnly,6,0,32,[],0.85125333070755
257,CoarseOnly,7,0,32,[],1.000831127166748
257,CoarseOnly,8,0,32,[],0.981674313545227
257,CoarseOnly,9,0,32,[],0.9105502963066101
257,CoarseOnly,10,0,32,[],0.8999554514884949
257,CoarseOnly,11,0,32,[],0.9299598932266235
257,CoarseOnly,12,0,32,[],0.9511505961418152
257,CoarseOnly,13,0,32,[],0.9889523983001709
257,CoarseOnly,14,0,32,[],1.079717993736267
257,CoarseOnly,15,0,32,[],1.106413722038269
257,CoarseOnly,16,0,32,[],1.072372555732727
258,CoarseOnly,0,0,32,[],0.07772039622068405
258,CoarseOnly,1,0,32,[],0.1104203388094902
258,CoarseOnly,2,0,32,[],0.14544641971588135
258,CoarseOnly,3,0,32,[],0.2404545247554779
258,CoarseOnly,4,0,32,[],0.5023936629295349
258,CoarseOnly,5,0,32,[],0.790108859539032
258,CoarseOnly,6,0,32,[],0.9713718295097351
258,CoarseOnly,7,0,32,[],1.0934306383132935
258,CoarseOnly,8,0,32,[],1.1198259592056274
258,CoarseOnly,9,0,32,[],1.1046009063720703
258,CoarseOnly,10,0,32,[],1.0871946811676025
258,CoarseOnly,11,0,32,[],1.072206974029541
258,CoarseOnly,12,0,32,[],1.0388392210006714
258,CoarseOnly,13,0,32,[],1.0785002708435059
258,CoarseOnly,14,0,32,[],1.0569450855255127
258,CoarseOnly,15,0,32,[],0.9895931482315063
258,CoarseOnly,16,0,32,[],0.9806744456291199
259,CoarseOnly,0,0,32,[],0.077554851770401
259,CoarseOnly,1,0,32,[],0.10900121182203293
259,CoarseOnly,2,0,32,[],0.13274306058883667
259,CoarseOnly,3,0,32,[],0.15678219497203827
259,CoarseOnly,4,0,32,[],0.22594843804836273
259,CoarseOnly,5,0,32,[],0.47013789415359497
259,CoarseOnly,6,0,32,[],0.8057553172111511
259,CoarseOnly,7,0,32,[],0.9574002623558044
259,CoarseOnly,8,0,32,[],0.9683173894882202
259,CoarseOnly,9,0,32,[],0.9305989146232605
259,CoarseOnly,10,0,32,[],0.9287624955177307
259,CoarseOnly,11,0,32,[],0.9627065062522888
259,CoarseOnly,12,0,32,[],0.9700443148612976
259,CoarseOnly,13,0,32,[],0.9983461499214172
259,CoarseOnly,14,0,32,[],1.0472615957260132
259,CoarseOnly,15,0,32,[],1.0279388427734375
259,CoarseOnly,16,0,32,[],0.964568018913269
260,CoarseOnly,0,0,32,[],0.07739123702049255
260,CoarseOnly,1,0,32,[],0.10897628962993622
260,CoarseOnly,2,0,32,[],0.13437937200069427
260,CoarseOnly,3,0,32,[],0.17193388938903809
260,CoarseOnly,4,0,32,[],0.30870339274406433
260,CoarseOnly,5,0,32,[],0.6251804828643799
260,CoarseOnly,6,0,32,[],0.8998881578445435
260,CoarseOnly,7,0,32,[],0.9916936755180359
260,CoarseOnly,8,0,32,[],1.0046467781066895
260,CoarseOnly,9,0,32,[],1.0136003494262695
260,CoarseOnly,10,0,32,[],1.0341424942016602
260,CoarseOnly,11,0,32,[],1.061617136001587
260,CoarseOnly,12,0,32,[],1.1429699659347534
260,CoarseOnly,13,0,32,[],1.11074697971344
260,CoarseOnly,14,0,32,[],1.0856876373291016
260,CoarseOnly,15,0,32,[],1.0471198558807373
260,CoarseOnly,16,0,32,[],1.0237733125686646
261,CoarseOnly,0,0,32,[],0.07803158462047577
261,CoarseOnly,1,0,32,[],0.11087420582771301
261,CoarseOnly,2,0,32,[],0.1459236443042755
261,CoarseOnly,3,0,32,[],0.23692920804023743
261,CoarseOnly,4,0,32,[],0.4837106764316559
261,CoarseOnly,5,0,32,[],0.763731837272644
261,CoarseOnly,6,0,32,[],0.9604187607765198
261,CoarseOnly,7,0,32,[],1.1133806705474854
261,CoarseOnly,8,0,32,[],1.1342580318450928
261,CoarseOnly,9,0,32,[],1.0906792879104614
261,CoarseOnly,10,0,32,[],1.0622950792312622
261,CoarseOnly,11,0,32,[],1.082768201828003
261,CoarseOnly,12,0,32,[],1.0210144519805908
261,CoarseOnly,13,0,32,[],1.0973182916641235
261,CoarseOnly,14,0,32,[],1.162894368171692
261,CoarseOnly,15,0,32,[],1.1070246696472168
261,CoarseOnly,16,0,32,[],1.08867347240448
262,CoarseOnly,0,0,32,[],0.07743950933218002
262,CoarseOnly,1,0,32,[],0.1095341220498085
262,CoarseOnly,2,0,32,[],0.13961337506771088
262,CoarseOnly,3,0,32,[],0.2083945870399475
262,CoarseOnly,4,0,32,[],0.4311509430408478
262,CoarseOnly,5,0,32,[],0.7466154098510742
262,CoarseOnly,6,0,32,[],0.9526504874229431
262,CoarseOnly,7,0,32,[],1.0505614280700684
262,CoarseOnly,8,0,32,[],1.0876400470733643
262,CoarseOnly,9,0,32,[],1.0870370864868164
262,CoarseOnly,10,0,32,[],1.0748411417007446
262,CoarseOnly,11,0,32,[],1.1025267839431763
262,CoarseOnly,12,0,32,[],1.082741618156433
262,CoarseOnly,13,0,32,[],1.090460181236267
262,CoarseOnly,14,0,32,[],1.0956079959869385
262,CoarseOnly,15,0,32,[],1.103731393814087
262,CoarseOnly,16,0,32,[],1.0958400964736938
263,CoarseOnly,0,0,32,[],0.07739906758069992
263,CoarseOnly,1,0,32,[],0.10939133912324905
263,CoarseOnly,2,0,32,[],0.1385161578655243
263,CoarseOnly,3,0,32,[],0.2010064274072647
263,CoarseOnly,4,0,32,[],0.40904664993286133
263,CoarseOnly,5,0,32,[],0.7258621454238892
263,CoarseOnly,6,0,32,[],0.9430035948753357
263,CoarseOnly,7,0,32,[],1.05295991897583
263,CoarseOnly,8,0,32,[],1.0895309448242188
263,CoarseOnly,9,0,32,[],1.0879055261611938
263,CoarseOnly,10,0,32,[],1.0679917335510254
263,CoarseOnly,11,0,32,[],1.1100717782974243
263,CoarseOnly,12,0,32,[],1.1042695045471191
263,CoarseOnly,13,0,32,[],1.1450539827346802
263,CoarseOnly,14,0,32,[],1.1266303062438965
263,CoarseOnly,15,0,32,[],1.086361050605774
263,CoarseOnly,16,0,32,[],1.080213189125061
264,CoarseOnly,0,0,32,[],0.07741512358188629
264,CoarseOnly,1,0,32,[],0.10889484733343124
264,CoarseOnly,2,0,32,[],0.13320395350456238
264,CoarseOnly,3,0,32,[],0.16197462379932404
264,CoarseOnly,4,0,32,[],0.2574130892753601
264,CoarseOnly,5,0,32,[],0.5309409499168396
264,CoarseOnly,6,0,32,[],0.8239318132400513
264,CoarseOnly,7,0,32,[],0.9594010710716248
264,CoarseOnly,8,0,32,[],0.9674400091171265
264,CoarseOnly,9,0,32,[],0.9718483090400696
264,CoarseOnly,10,0,32,[],0.9836530685424805
264,CoarseOnly,11,0,32,[],1.006592869758606
264,CoarseOnly,12,0,32,[],1.0946788787841797
264,CoarseOnly,13,0,32,[],1.0788472890853882
264,CoarseOnly,14,0,32,[],1.0636026859283447
264,CoarseOnly,15,0,32,[],1.0652587413787842
264,CoarseOnly,16,0,32,[],1.0426982641220093
265,CoarseOnly,0,0,32,[],0.07747720927000046
265,CoarseOnly,1,0,32,[],0.10963426530361176
265,CoarseOnly,2,0,32,[],0.13991816341876984
265,CoarseOnly,3,0,32,[],0.20687294006347656
265,CoarseOnly,4,0,32,[],0.4173735976219177
265,CoarseOnly,5,0,32,[],0.7163213491439819
265,CoarseOnly,6,0,32,[],0.929646372795105
265,CoarseOnly,7,0,32,[],1.077256441116333
265,CoarseOnly,8,0,32,[],1.1114784479141235
265,CoarseOnly,9,0,32,[],1.0928605794906616
265,CoarseOnly,10,0,32,[],1.06057870388031
265,CoarseOnly,11,0,32,[],1.0753854513168335
265,CoarseOnly,12,0,32,[],1.0383455753326416
265,CoarseOnly,13,0,32,[],1.1429219245910645
265,CoarseOnly,14,0,32,[],1.1848769187927246
265,CoarseOnly,15,0,32,[],1.1038755178451538
265,CoarseOnly,16,0,32,[],1.0947295427322388
266,CoarseOnly,0,0,32,[],0.07745138555765152
266,CoarseOnly,1,0,32,[],0.10894379019737244
266,CoarseOnly,2,0,32,[],0.13333585858345032
266,CoarseOnly,3,0,32,[],0.1631176918745041
266,CoarseOnly,4,0,32,[],0.2650124728679657
266,CoarseOnly,5,0,32,[],0.5556833148002625
266,CoarseOnly,6,0,32,[],0.8575342297554016
266,CoarseOnly,7,0,32,[],0.9804102182388306
266,CoarseOnly,8,0,32,[],0.9519198536872864
