Case,ProvisionalRelativeL2,AllPatchRelativeL2
230,0.07102964073419571,0.01341245137155056
231,0.07059165090322495,0.009290785528719425
232,0.07046744972467422,0.00904461182653904
233,0.07048705965280533,0.009970292448997498
234,0.07124070823192596,0.01432852353900671
235,0.07069198787212372,0.009712363593280315
236,0.07044205069541931,0.009275098331272602
237,0.07051946222782135,0.00905001163482666
238,0.07062387466430664,0.009378129616379738
239,0.0704469084739685,0.009150550700724125
240,0.07069950550794601,0.009512670338153839
241,0.07068978995084763,0.009387023746967316
242,0.07075686007738113,0.010396700352430344
243,0.07067909836769104,0.009375805966556072
244,0.07075802236795425,0.009643894620239735
245,0.0705070048570633,0.00905868224799633
246,0.07054878771305084,0.008998487144708633
247,0.07066836953163147,0.009487751871347427
248,0.07070287317037582,0.00948049034923315
249,0.07051558792591095,0.009916650131344795
