Split,Samples,MSE,Pearson,Spearman,PositiveSignAccuracy
train,250240,1.6417722736861151e-09,0.9568617924763837,0.7766268441835629,0.8643981777493606
val,21760,1.7355025194731866e-09,0.9551061607315586,0.7763604307396144,0.8623161764705882
