Budget,Cases,CoarseOnlyError,UniformGTGreedyError,GreedyBudgetOracleError,BeamLongHorizonError,Beam_vs_Greedy_RelativeGain,Beam_vs_Uniform_RelativeGain,PositiveCaseRate,BudgetUsage,WallTime
16,16,0.7028602734208107,0.6976050697267056,0.6976050697267056,0.6648682281374931,4.692747087121576,4.692747087121576,75.0,16.0,119.40140520000023
32,16,0.7028602734208107,0.7447792328894138,0.7447792328894138,0.6559308767318726,11.929488932290576,11.929488932290576,87.5,31.25,125.05520270000125
48,16,0.7028602734208107,0.7518291398882866,0.6487386059015989,0.6557558514177799,-1.0816753392421619,12.778606650545905,62.5,39.75,127.29109480000079
