Case,Seed,Method,TrajectoryRelativeL2,FinalFrameRelativeL2,LocalCalls
803,123,CoarseOnly,10.52287483215332,67.86088562011719,0
835,123,CoarseOnly,5.905643939971924,99.99481964111328,0
871,123,CoarseOnly,6.147817611694336,98.02425384521484,0
979,123,CoarseOnly,9.644883155822754,74.10160827636719,0
980,123,CoarseOnly,9.710439682006836,72.4802017211914,0
834,123,CoarseOnly,5.01032829284668,116.07966613769531,0
829,123,CoarseOnly,10.013280868530273,72.07533264160156,0
981,123,CoarseOnly,6.337623119354248,96.80473327636719,0
808,123,CoarseOnly,7.823235034942627,86.40870666503906,0
965,123,CoarseOnly,6.423593521118164,93.23651885986328,0
934,123,CoarseOnly,8.065332412719727,84.5404052734375,0
971,123,CoarseOnly,8.402152061462402,80.95964050292969,0
861,123,CoarseOnly,13.021913528442383,52.74209976196289,0
977,123,CoarseOnly,8.660021781921387,78.78260040283203,0
990,123,CoarseOnly,7.20894718170166,90.9229736328125,0
828,123,CoarseOnly,4.836719989776611,116.72802734375,0
858,123,CoarseOnly,10.964653968811035,65.25723266601562,0
938,123,CoarseOnly,13.600903511047363,51.075374603271484,0
976,123,CoarseOnly,5.00972318649292,114.50257110595703,0
955,123,CoarseOnly,5.009406566619873,115.73258972167969,0
872,123,CoarseOnly,10.083121299743652,71.64055633544922,0
867,123,CoarseOnly,8.597291946411133,80.62762451171875,0
841,123,CoarseOnly,5.1514892578125,113.34320068359375,0
830,123,CoarseOnly,5.375027656555176,109.63909912109375,0
946,123,CoarseOnly,12.838706970214844,50.74284744262695,0
952,123,CoarseOnly,4.909188747406006,117.97972106933594,0
923,123,CoarseOnly,5.950250625610352,101.83297729492188,0
925,123,CoarseOnly,4.747666835784912,123.6226577758789,0
953,123,CoarseOnly,4.931000232696533,118.72451782226562,0
846,123,CoarseOnly,12.35904312133789,57.49250411987305,0
930,123,CoarseOnly,7.900401592254639,86.23924255371094,0
863,123,CoarseOnly,5.806816577911377,102.62234497070312,0
899,123,CoarseOnly,7.236356258392334,84.05291748046875,0
821,123,CoarseOnly,7.7775468826293945,87.39089965820312,0
